Sequence Length;Repetition Number;Sequence;True Value;GPT-4 Value;
5;15;Compute the sum of the following numbers: 23, 97, 36, 61, 63;280;280;
5;16;Compute the sum of the following numbers: 77, 41, 98, 54, 46;316;316;
5;17;Compute the sum of the following numbers: 95, 69, 52, 25, 13;254;254;
5;18;Compute the sum of the following numbers: 82, 47, 41, 38, 89;297;297;
5;19;Compute the sum of the following numbers: 64, 95, 93, 61, 94;407;407;
6;0;Compute the sum of the following numbers: 15, 11, 97, 73, 93, 50;339;339;
6;1;Compute the sum of the following numbers: 76, 2, 62, 70, 89, 66;365;365;
6;2;Compute the sum of the following numbers: 78, 40, 22, 69, 10, 33;252;252;
6;3;Compute the sum of the following numbers: 9, 50, 9, 32, 41, 11;152;152;
6;4;Compute the sum of the following numbers: 84, 5, 81, 68, 5, 90;333;333;
6;5;Compute the sum of the following numbers: 57, 66, 39, 18, 15, 62;257;257;
6;6;Compute the sum of the following numbers: 2, 69, 19, 42, 62, 67;261;261;
6;7;Compute the sum of the following numbers: 51, 24, 50, 92, 92, 44;353;353;
6;8;Compute the sum of the following numbers: 55, 22, 96, 37, 45, 11;266;266;
6;9;Compute the sum of the following numbers: 60, 3, 85, 31, 5, 36;220;220;
6;10;Compute the sum of the following numbers: 39, 40, 76, 75, 27, 94;351;351;
6;11;Compute the sum of the following numbers: 64, 9, 59, 77, 99, 41;349;349;
6;12;Compute the sum of the following numbers: 74, 84, 10, 17, 48, 15;248;248;
6;13;Compute the sum of the following numbers: 9, 9, 13, 37, 90, 2;160;160;
6;14;Compute the sum of the following numbers: 7, 74, 79, 50, 63, 51;324;324;
6;15;Compute the sum of the following numbers: 84, 85, 83, 4, 26, 48;330;330;
6;16;Compute the sum of the following numbers: 98, 46, 2, 44, 84, 41;315;315;
6;17;Compute the sum of the following numbers: 92, 93, 95, 17, 27, 41;365;365;
6;18;Compute the sum of the following numbers: 96, 8, 69, 40, 46, 22;281;281;
6;19;Compute the sum of the following numbers: 62, 35, 35, 89, 19, 40;280;280;
7;0;Compute the sum of the following numbers: 73, 85, 18, 19, 5, 37, 28;265;265;
7;1;Compute the sum of the following numbers: 76, 81, 71, 17, 88, 34, 55;422;422;
7;2;Compute the sum of the following numbers: 52, 59, 48, 43, 46, 26, 56;330;330;
7;3;Compute the sum of the following numbers: 23, 82, 56, 51, 84, 45, 18;359;359;
7;4;Compute the sum of the following numbers: 66, 64, 27, 49, 83, 80, 72;441;441;
7;5;Compute the sum of the following numbers: 38, 65, 85, 54, 3, 49, 93;387;387;
7;6;Compute the sum of the following numbers: 15, 22, 72, 87, 69, 31, 7;303;303;
7;7;Compute the sum of the following numbers: 91, 68, 67, 14, 43, 83, 7;373;373;
7;8;Compute the sum of the following numbers: 81, 53, 5, 95, 37, 24, 20;315;315;
7;9;Compute the sum of the following numbers: 65, 52, 7, 36, 52, 86, 6;304;304;
7;10;Compute the sum of the following numbers: 90, 55, 60, 63, 58, 100, 2;428;428;
7;11;Compute the sum of the following numbers: 13, 42, 77, 94, 26, 14, 18;284;284;
7;12;Compute the sum of the following numbers: 63, 16, 74, 29, 63, 60, 64;369;359;
7;13;Compute the sum of the following numbers: 37, 56, 78, 52, 36, 76, 34;369;369;
7;14;Compute the sum of the following numbers: 75, 42, 36, 13, 14, 39, 24;243;243;
7;15;Compute the sum of the following numbers: 78, 49, 24, 68, 8, 11, 72;310;310;
7;16;Compute the sum of the following numbers: 76, 35, 39, 46, 48, 43, 30;317;317;
7;17;Compute the sum of the following numbers: 11, 9, 67, 18, 26, 9, 38;178;178;
7;18;Compute the sum of the following numbers: 61, 66, 37, 52, 5, 21, 72;314;314;
7;19;Compute the sum of the following numbers: 15, 15, 100, 82, 30, 77, 32;351;351;
8;0;Compute the sum of the following numbers: 27, 41, 7, 59, 47, 63, 38, 66;348;348;
8;1;Compute the sum of the following numbers: 3, 99, 70, 14, 43, 30, 96, 78;433;433;
8;2;Compute the sum of the following numbers: 90, 80, 95, 58, 53, 17, 21, 93;507;507;
8;3;Compute the sum of the following numbers: 11, 71, 57, 34, 68, 39, 39, 3;322;322;
8;4;Compute the sum of the following numbers: 30, 32, 84, 54, 70, 21, 11, 78;380;380;
8;5;Compute the sum of the following numbers: 29, 48, 46, 29, 27, 16, 48, 67;310;310;
8;6;Compute the sum of the following numbers: 2, 55, 4, 38, 65, 7, 23, 42;236;236;
8;7;Compute the sum of the following numbers: 92, 92, 92, 28, 10, 7, 24, 55;400;400;
8;8;Compute the sum of the following numbers: 88, 18, 23, 60, 84, 92, 70, 15;450;450;
8;9;Compute the sum of the following numbers: 4, 33, 22, 62, 69, 88, 80, 13;371;371;
8;10;Compute the sum of the following numbers: 44, 64, 100, 60, 59, 35, 48, 32;442;442;
8;11;Compute the sum of the following numbers: 27, 65, 35, 20, 17, 71, 33, 29;297;297;
8;12;Compute the sum of the following numbers: 15, 74, 23, 23, 39, 96, 35, 37;342;342;
8;13;Compute the sum of the following numbers: 14, 67, 19, 81, 42, 12, 57, 34;326;326;
8;14;Compute the sum of the following numbers: 22, 75, 30, 44, 56, 62, 1, 32;322;322;
8;15;Compute the sum of the following numbers: 11, 55, 28, 21, 79, 78, 81, 81;434;434;
8;16;Compute the sum of the following numbers: 85, 25, 26, 63, 54, 73, 96, 37;459;459;
8;17;Compute the sum of the following numbers: 35, 38, 78, 62, 46, 74, 93, 40;466;466;
8;18;Compute the sum of the following numbers: 34, 81, 52, 42, 32, 12, 61, 26;340;340;
8;19;Compute the sum of the following numbers: 88, 28, 56, 33, 90, 32, 6, 13;346;346;
9;0;Compute the sum of the following numbers: 61, 13, 81, 21, 32, 83, 88, 58, 13;450;450;
9;1;Compute the sum of the following numbers: 44, 91, 69, 42, 47, 33, 47, 5, 34;412;412;
9;2;Compute the sum of the following numbers: 92, 48, 65, 81, 27, 49, 10, 56, 71;499;499;
9;3;Compute the sum of the following numbers: 32, 79, 16, 41, 5, 37, 56, 86, 84;436;436;
9;4;Compute the sum of the following numbers: 18, 80, 65, 12, 77, 84, 98, 74, 69;577;577;
9;5;Compute the sum of the following numbers: 82, 55, 33, 18, 48, 59, 46, 32, 48;421;421;
9;6;Compute the sum of the following numbers: 44, 95, 100, 14, 25, 68, 77, 13, 100;536;536;
9;7;Compute the sum of the following numbers: 45, 53, 21, 16, 34, 90, 15, 70, 63;407;407;
9;8;Compute the sum of the following numbers: 92, 80, 34, 52, 36, 39, 97, 59, 18;507;507;
9;9;Compute the sum of the following numbers: 13, 41, 29, 33, 21, 59, 70, 28, 52;346;346;
9;10;Compute the sum of the following numbers: 87, 57, 100, 53, 20, 15, 51, 64, 76;523;523;
9;11;Compute the sum of the following numbers: 18, 90, 97, 74, 72, 44, 79, 76, 16;566;566;
9;12;Compute the sum of the following numbers: 84, 82, 22, 58, 8, 73, 81, 91, 41;540;540;
9;13;Compute the sum of the following numbers: 65, 100, 86, 31, 5, 26, 38, 12, 35;398;398;
9;14;Compute the sum of the following numbers: 61, 18, 90, 1, 38, 71, 84, 49, 61;473;473;
9;15;Compute the sum of the following numbers: 1, 7, 34, 51, 53, 83, 22, 40, 90;381;381;
9;16;Compute the sum of the following numbers: 17, 88, 51, 53, 29, 59, 84, 10, 99;490;490;
9;17;Compute the sum of the following numbers: 47, 45, 27, 10, 47, 92, 84, 13, 72;437;437;
9;18;Compute the sum of the following numbers: 39, 89, 66, 22, 46, 75, 20, 72, 93;522;522;
9;19;Compute the sum of the following numbers: 72, 86, 80, 77, 77, 42, 84, 61, 15;594;594;
10;0;Compute the sum of the following numbers: 90, 25, 24, 15, 16, 48, 8, 88, 67, 95;476;476;
10;1;Compute the sum of the following numbers: 95, 28, 20, 84, 51, 11, 94, 95, 53, 41;572;572;
10;2;Compute the sum of the following numbers: 46, 74, 98, 32, 25, 30, 89, 40, 68, 52;554;534;
10;3;Compute the sum of the following numbers: 54, 47, 10, 32, 10, 6, 46, 75, 48, 84;412;412;
10;4;Compute the sum of the following numbers: 20, 37, 45, 3, 17, 54, 46, 67, 12, 20;321;321;
10;5;Compute the sum of the following numbers: 7, 97, 96, 63, 56, 3, 45, 2, 35, 82;486;486;
10;6;Compute the sum of the following numbers: 29, 39, 8, 8, 85, 82, 59, 76, 62, 77;525;525;
10;7;Compute the sum of the following numbers: 81, 35, 30, 26, 84, 85, 47, 90, 25, 83;586;586;
10;8;Compute the sum of the following numbers: 83, 97, 21, 58, 88, 4, 73, 63, 80, 80;647;647;
10;9;Compute the sum of the following numbers: 58, 68, 58, 76, 84, 15, 9, 30, 76, 34;508;508;
10;10;Compute the sum of the following numbers: 80, 76, 40, 72, 17, 15, 80, 52, 88, 40;560;560;
10;11;Compute the sum of the following numbers: 60, 42, 37, 58, 27, 12, 98, 35, 69, 78;516;516;
10;12;Compute the sum of the following numbers: 54, 19, 98, 60, 23, 74, 35, 22, 61, 82;528;528;
10;13;Compute the sum of the following numbers: 6, 63, 19, 39, 93, 5, 41, 27, 73, 56;422;422;
10;14;Compute the sum of the following numbers: 3, 41, 96, 48, 43, 56, 4, 40, 24, 67;422;422;
10;15;Compute the sum of the following numbers: 85, 83, 34, 24, 95, 73, 50, 46, 28, 89;607;607;
10;16;Compute the sum of the following numbers: 11, 59, 77, 75, 17, 15, 22, 80, 87, 5;448;448;
10;17;Compute the sum of the following numbers: 30, 24, 3, 99, 32, 81, 28, 26, 56, 27;406;406;
10;18;Compute the sum of the following numbers: 32, 63, 33, 85, 61, 95, 18, 46, 26, 61;520;459;
10;19;Compute the sum of the following numbers: 10, 39, 73, 1, 54, 18, 69, 10, 15, 31;320;320;
11;0;Compute the sum of the following numbers: 76, 60, 55, 27, 32, 64, 99, 51, 5, 81, 72;622;622;
11;1;Compute the sum of the following numbers: 34, 39, 79, 74, 88, 92, 80, 76, 31, 6, 8;607;607;
11;2;Compute the sum of the following numbers: 49, 50, 60, 95, 52, 22, 10, 70, 41, 79, 73;601;601;
11;3;Compute the sum of the following numbers: 31, 88, 54, 78, 16, 85, 60, 45, 42, 91, 75;665;665;
11;4;Compute the sum of the following numbers: 11, 13, 41, 49, 60, 49, 59, 38, 90, 14, 8;432;432;
11;5;Compute the sum of the following numbers: 28, 3, 66, 12, 58, 31, 71, 96, 33, 61, 32;491;491;
11;6;Compute the sum of the following numbers: 11, 89, 19, 98, 47, 70, 22, 70, 20, 99, 94;639;639;
11;7;Compute the sum of the following numbers: 27, 55, 50, 73, 44, 51, 55, 72, 24, 59, 26;536;556;
11;8;Compute the sum of the following numbers: 57, 59, 98, 93, 55, 74, 56, 11, 98, 97, 34;732;732;
11;9;Compute the sum of the following numbers: 52, 11, 32, 98, 87, 11, 94, 54, 49, 64, 70;622;622;
11;10;Compute the sum of the following numbers: 60, 92, 62, 71, 48, 13, 17, 15, 78, 83, 82;621;621;
11;11;Compute the sum of the following numbers: 68, 36, 99, 70, 47, 46, 73, 56, 31, 69, 77;672;672;
11;12;Compute the sum of the following numbers: 29, 68, 16, 90, 66, 85, 10, 47, 71, 96, 89;667;667;
11;13;Compute the sum of the following numbers: 68, 18, 15, 6, 12, 79, 89, 83, 35, 10, 53;468;468;
11;14;Compute the sum of the following numbers: 69, 14, 40, 90, 82, 56, 32, 55, 40, 34, 30;542;541;
11;15;Compute the sum of the following numbers: 48, 20, 61, 75, 36, 31, 68, 2, 90, 15, 65;511;511;
11;16;Compute the sum of the following numbers: 37, 1, 61, 40, 35, 11, 25, 83, 89, 14, 73;469;469;
11;17;Compute the sum of the following numbers: 31, 95, 67, 17, 67, 72, 79, 20, 98, 18, 36;600;600;
11;18;Compute the sum of the following numbers: 38, 27, 81, 59, 61, 8, 61, 34, 25, 75, 33;502;502;
11;19;Compute the sum of the following numbers: 28, 60, 67, 33, 86, 86, 49, 76, 66, 90, 83;724;774;
12;0;Compute the sum of the following numbers: 1, 82, 97, 24, 81, 40, 87, 82, 38, 76, 50, 76;734;804;
12;1;Compute the sum of the following numbers: 54, 37, 83, 61, 47, 26, 99, 31, 10, 22, 90, 100;660;660;
12;2;Compute the sum of the following numbers: 38, 86, 67, 74, 42, 39, 94, 52, 78, 8, 14, 6;598;598;
12;3;Compute the sum of the following numbers: 8, 6, 51, 47, 82, 36, 100, 97, 35, 58, 94, 91;705;705;
12;4;Compute the sum of the following numbers: 95, 6, 44, 61, 48, 92, 73, 47, 40, 45, 85, 71;707;707;
12;5;Compute the sum of the following numbers: 55, 70, 28, 9, 7, 52, 92, 21, 10, 59, 28, 25;456;446;
12;6;Compute the sum of the following numbers: 23, 30, 26, 96, 1, 60, 45, 93, 52, 46, 35, 24;531;535;
12;7;Compute the sum of the following numbers: 23, 72, 33, 96, 10, 58, 73, 12, 34, 61, 35, 89;596;596;
12;8;Compute the sum of the following numbers: 42, 51, 7, 50, 62, 46, 93, 64, 47, 14, 23, 2;501;576;
12;9;Compute the sum of the following numbers: 61, 99, 1, 68, 36, 96, 15, 30, 48, 34, 99, 40;627;627;
12;10;Compute the sum of the following numbers: 51, 83, 39, 68, 34, 58, 35, 63, 47, 22, 69, 98;667;678;
12;11;Compute the sum of the following numbers: 15, 77, 52, 38, 58, 91, 5, 90, 74, 5, 76, 23;604;604;
12;12;Compute the sum of the following numbers: 35, 34, 83, 28, 48, 85, 12, 17, 92, 32, 82, 9;557;566;
12;13;Compute the sum of the following numbers: 9, 84, 32, 5, 99, 54, 14, 17, 91, 92, 66, 77;640;630;
12;14;Compute the sum of the following numbers: 85, 92, 58, 43, 94, 73, 79, 54, 24, 77, 27, 8;714;712;
12;15;Compute the sum of the following numbers: 83, 70, 90, 41, 22, 49, 51, 80, 36, 67, 93, 19;701;701;
12;16;Compute the sum of the following numbers: 75, 77, 10, 10, 6, 8, 54, 2, 6, 76, 27, 86;437;437;
12;17;Compute the sum of the following numbers: 47, 26, 80, 28, 73, 20, 63, 71, 87, 55, 74, 93;717;717;
12;18;Compute the sum of the following numbers: 30, 24, 64, 25, 67, 75, 95, 17, 92, 22, 67, 34;612;548;
12;19;Compute the sum of the following numbers: 45, 5, 51, 9, 43, 12, 29, 9, 12, 90, 70, 8;383;373;
13;0;Compute the sum of the following numbers: 93, 100, 93, 55, 62, 22, 77, 58, 36, 82, 34, 35, 14;761;776;
13;1;Compute the sum of the following numbers: 22, 29, 33, 68, 35, 32, 19, 29, 41, 29, 2, 99, 54;492;450;
13;2;Compute the sum of the following numbers: 3, 100, 35, 87, 66, 29, 31, 12, 52, 2, 49, 44, 63;573;573;
13;3;Compute the sum of the following numbers: 59, 88, 74, 69, 49, 33, 34, 8, 75, 62, 55, 75, 74;755;806;
13;4;Compute the sum of the following numbers: 10, 83, 30, 66, 5, 92, 55, 91, 75, 41, 2, 53, 24;627;650;
13;5;Compute the sum of the following numbers: 61, 12, 60, 82, 92, 13, 22, 26, 17, 23, 61, 19, 44;532;499;
13;6;Compute the sum of the following numbers: 58, 100, 11, 75, 64, 33, 18, 8, 97, 37, 84, 72, 70;727;727;
13;7;Compute the sum of the following numbers: 61, 54, 14, 51, 87, 52, 51, 99, 3, 55, 54, 8, 55;644;644;
13;8;Compute the sum of the following numbers: 94, 6, 16, 36, 67, 98, 42, 33, 86, 36, 44, 20, 71;649;649;
13;9;Compute the sum of the following numbers: 65, 90, 2, 89, 4, 93, 54, 87, 4, 100, 34, 99, 57;778;778;
13;10;Compute the sum of the following numbers: 80, 44, 43, 88, 71, 53, 26, 82, 59, 18, 89, 33, 44;730;730;
13;11;Compute the sum of the following numbers: 70, 82, 88, 25, 94, 55, 15, 70, 20, 40, 53, 5, 98;715;715;
13;12;Compute the sum of the following numbers: 99, 30, 74, 90, 25, 96, 27, 35, 59, 36, 10, 78, 75;734;744;
13;13;Compute the sum of the following numbers: 100, 13, 23, 28, 59, 83, 93, 51, 75, 99, 29, 22, 19;694;695;
13;14;Compute the sum of the following numbers: 18, 57, 82, 68, 10, 19, 73, 72, 45, 17, 17, 37, 8;523;515;
13;15;Compute the sum of the following numbers: 3, 35, 4, 74, 6, 90, 26, 70, 31, 28, 4, 22, 21;414;404;
13;16;Compute the sum of the following numbers: 95, 3, 12, 13, 72, 39, 36, 43, 90, 36, 16, 85, 5;545;545;
13;17;Compute the sum of the following numbers: 66, 91, 66, 29, 99, 2, 64, 93, 41, 23, 73, 69, 82;798;798;
13;18;Compute the sum of the following numbers: 1, 9, 78, 67, 50, 87, 30, 7, 61, 100, 12, 86, 92;680;750;
13;19;Compute the sum of the following numbers: 4, 19, 89, 86, 14, 37, 59, 31, 97, 12, 97, 75, 60;680;777;
14;0;Compute the sum of the following numbers: 11, 53, 87, 92, 64, 66, 68, 1, 5, 92, 36, 32, 57, 61;725;725;
14;1;Compute the sum of the following numbers: 95, 43, 63, 56, 71, 44, 29, 48, 46, 97, 72, 83, 90, 45;882;952;
14;2;Compute the sum of the following numbers: 33, 97, 77, 86, 71, 30, 58, 27, 39, 6, 15, 62, 38, 82;721;731;
14;3;Compute the sum of the following numbers: 41, 9, 83, 53, 61, 93, 12, 64, 61, 85, 64, 49, 52, 7;734;735;
14;4;Compute the sum of the following numbers: 78, 93, 11, 53, 51, 30, 72, 24, 60, 69, 56, 5, 27, 81;710;800;
14;5;Compute the sum of the following numbers: 3, 44, 12, 92, 22, 39, 13, 17, 30, 8, 96, 33, 51, 93;553;675;
14;6;Compute the sum of the following numbers: 9, 27, 30, 59, 25, 59, 87, 36, 73, 62, 18, 9, 99, 88;681;737;
14;7;Compute the sum of the following numbers: 83, 23, 96, 97, 5, 85, 19, 79, 49, 60, 28, 32, 1, 27;684;684;
14;8;Compute the sum of the following numbers: 85, 46, 65, 14, 98, 27, 29, 64, 21, 96, 95, 83, 19, 1;743;743;
14;9;Compute the sum of the following numbers: 76, 35, 90, 46, 97, 44, 4, 57, 2, 47, 22, 47, 3, 3;573;533;
14;10;Compute the sum of the following numbers: 15, 47, 85, 63, 28, 99, 71, 70, 8, 89, 50, 73, 70, 32;800;890;
14;11;Compute the sum of the following numbers: 100, 25, 2, 35, 42, 18, 87, 37, 54, 56, 46, 2, 35, 46;585;585;
14;12;Compute the sum of the following numbers: 95, 83, 65, 55, 52, 62, 65, 21, 100, 72, 30, 98, 24, 12;834;848;
14;13;Compute the sum of the following numbers: 4, 92, 24, 38, 86, 42, 8, 26, 66, 100, 97, 61, 75, 41;760;836;
14;14;Compute the sum of the following numbers: 89, 100, 37, 100, 49, 64, 35, 20, 29, 73, 14, 29, 41, 46;726;726;
14;15;Compute the sum of the following numbers: 46, 28, 81, 63, 48, 43, 90, 59, 52, 23, 85, 49, 15, 22;704;755;
14;16;Compute the sum of the following numbers: 96, 95, 96, 39, 25, 90, 45, 33, 60, 23, 50, 29, 96, 46;823;827;
14;17;Compute the sum of the following numbers: 4, 22, 60, 1, 18, 92, 26, 27, 81, 23, 75, 20, 89, 31;569;585;
14;18;Compute the sum of the following numbers: 46, 96, 40, 89, 12, 27, 21, 39, 97, 44, 28, 80, 10, 36;665;675;
14;19;Compute the sum of the following numbers: 58, 1, 1, 100, 37, 73, 81, 85, 98, 4, 2, 33, 31, 68;672;778;
15;0;Compute the sum of the following numbers: 26, 99, 48, 29, 13, 100, 52, 43, 19, 66, 5, 43, 53, 11, 49;656;696;
15;1;Compute the sum of the following numbers: 99, 90, 32, 10, 16, 93, 17, 100, 63, 80, 26, 23, 89, 36, 87;861;961;
15;2;Compute the sum of the following numbers: 41, 86, 90, 45, 97, 67, 4, 66, 99, 22, 21, 91, 75, 95, 13;912;927;
15;3;Compute the sum of the following numbers: 99, 74, 92, 89, 6, 55, 39, 34, 25, 7, 38, 71, 77, 3, 50;759;830;
15;4;Compute the sum of the following numbers: 34, 74, 19, 66, 12, 46, 34, 85, 22, 31, 21, 46, 77, 23, 59;649;757;
15;5;Compute the sum of the following numbers: 87, 61, 33, 62, 24, 81, 29, 2, 13, 72, 100, 93, 86, 99, 28;870;981;
15;6;Compute the sum of the following numbers: 71, 26, 68, 56, 93, 30, 85, 82, 56, 23, 82, 84, 93, 82, 78;1009;1067;
15;7;Compute the sum of the following numbers: 91, 60, 6, 12, 81, 26, 66, 18, 84, 93, 85, 6, 84, 61, 48;821;911;
15;8;Compute the sum of the following numbers: 37, 37, 42, 95, 20, 89, 12, 31, 23, 47, 49, 92, 7, 90, 74;745;787;
15;9;Compute the sum of the following numbers: 31, 18, 100, 65, 15, 62, 25, 53, 51, 46, 60, 52, 54, 100, 41;773;853;
15;10;Compute the sum of the following numbers: 6, 57, 67, 61, 92, 77, 23, 22, 71, 55, 62, 23, 56, 94, 100;866;950;
15;11;Compute the sum of the following numbers: 59, 91, 73, 99, 66, 57, 80, 33, 58, 49, 81, 62, 78, 70, 49;1005;1126;
15;12;Compute the sum of the following numbers: 76, 23, 40, 27, 57, 74, 41, 16, 28, 74, 9, 91, 89, 45, 53;743;745;
15;13;Compute the sum of the following numbers: 26, 32, 17, 93, 22, 58, 91, 15, 32, 82, 64, 60, 53, 74, 76;795;852;
15;14;Compute the sum of the following numbers: 73, 83, 49, 76, 27, 78, 65, 35, 66, 7, 9, 34, 77, 7, 66;752;792;
15;15;Compute the sum of the following numbers: 49, 95, 59, 86, 8, 34, 21, 10, 11, 83, 47, 3, 78, 60, 65;709;800;
15;16;Compute the sum of the following numbers: 68, 11, 97, 1, 33, 95, 5, 93, 87, 53, 34, 45, 42, 68, 96;828;844;
15;17;Compute the sum of the following numbers: 36, 51, 57, 67, 41, 26, 91, 68, 38, 83, 57, 8, 6, 11, 59;699;758;
15;18;Compute the sum of the following numbers: 25, 24, 44, 31, 9, 23, 89, 88, 4, 26, 10, 87, 95, 34, 49;638;686;
15;19;Compute the sum of the following numbers: 25, 18, 36, 17, 28, 55, 18, 34, 13, 76, 64, 84, 80, 55, 36;639;678;
16;0;Compute the sum of the following numbers: 15, 67, 81, 17, 21, 57, 84, 15, 60, 96, 65, 77, 24, 65, 51, 45;840;950;
16;1;Compute the sum of the following numbers: 55, 12, 49, 19, 85, 28, 40, 81, 53, 88, 74, 66, 44, 49, 42, 71;856;906;
16;2;Compute the sum of the following numbers: 79, 13, 16, 40, 56, 74, 65, 29, 14, 53, 7, 10, 73, 44, 39, 69;681;736;
16;3;Compute the sum of the following numbers: 43, 81, 74, 2, 72, 1, 35, 21, 46, 16, 100, 95, 100, 26, 48, 15;775;861;
16;4;Compute the sum of the following numbers: 90, 24, 84, 12, 92, 45, 5, 10, 51, 66, 91, 48, 48, 2, 83, 20;771;841;
16;5;Compute the sum of the following numbers: 41, 46, 91, 81, 72, 67, 82, 15, 88, 21, 95, 84, 44, 23, 53, 3;906;981;
16;6;Compute the sum of the following numbers: 84, 24, 51, 62, 21, 96, 47, 81, 59, 35, 36, 30, 45, 7, 45, 42;765;826;
16;7;Compute the sum of the following numbers: 4, 20, 92, 16, 58, 63, 11, 86, 22, 98, 64, 46, 1, 42, 41, 17;681;781;
16;8;Compute the sum of the following numbers: 50, 78, 100, 37, 45, 67, 45, 19, 4, 61, 36, 80, 2, 32, 34, 7;697;724;
