Operator,Sequence Length,Repetition Number,Sequence,True Value,GPT-4 Value,Correct?,,Number Correct
+,2,30,1158387522 + 1158326307,2316713829,2316713829,TRUE,,
+,2,31,1158314516 + 1158379339,2316693855,2316693855,TRUE,,
+,2,32,1158318174 + 1158307826,2316626000,2316626000,TRUE,,
+,2,33,1158328369 + 1158327192,2316655561,2316655561,TRUE,,
+,2,34,1158311691 + 1158368210,2316679901,2316679901,TRUE,,
+,2,35,1158308961 + 1158309967,2316618928,2316618928,TRUE,,
+,2,36,1158386697 + 1158338205,2316724902,2316724902,TRUE,,
+,2,37,1158294225 + 1158383165,2316677390,2316677390,TRUE,,
+,2,38,1158338818 + 1158371427,2316710245,2316710245,TRUE,,
+,2,39,1158370396 + 1158377946,2316748342,2316748342,TRUE,,
+,2,40,1158360029 + 1158376787,2316736816,2316736816,TRUE,,
+,2,41,1158290991 + 1158367299,2316658290,2316658290,TRUE,,
+,2,42,1158382383 + 1158315492,2316697875,2316697875,TRUE,,
+,2,43,1158331262 + 1158320541,2316651803,2316651803,TRUE,,
+,2,44,1158294503 + 1158333820,2316628323,2316628323,TRUE,,
+,2,45,1158379705 + 1158301981,2316681686,2316681686,TRUE,,
+,2,46,1158373734 + 1158368305,2316742039,2316742039,TRUE,,
+,2,47,1158337555 + 1158355355,2316692910,2316692910,TRUE,,
+,2,48,1158377302 + 1158328050,2316705352,2316705352,TRUE,,
+,2,49,1158355565 + 1158331927,2316687492,2316687492,TRUE,,
+,2,50,1158343540 + 1158363395,2316706935,2316706935,TRUE,,
+,2,51,1158293195 + 1158378806,2316672001,2316672001,TRUE,,
+,2,52,1158385794 + 1158318381,2316704175,2316704175,TRUE,,
+,2,53,1158368746 + 1158344124,2316712870,2316712490,FALSE,,
+,2,54,1158295749 + 1158382039,2316677788,2316677788,TRUE,,
+,2,55,1158348048 + 1158303011,2316651059,2316651059,TRUE,,
+,2,56,1158375566 + 1158338811,2316714377,2316714377,TRUE,,
+,2,57,1158362935 + 1158304900,2316667835,2316667835,TRUE,,
+,2,58,1158299284 + 1158315173,2316614457,2316614457,TRUE,,
+,2,59,1158313530 + 1158327022,2316640552,2316640552,TRUE,,
+,2,60,1158387650 + 1158337467,2316725117,2316725117,TRUE,,
+,2,61,1158293374 + 1158303421,2316596795,2316596795,TRUE,,
+,2,62,1158319973 + 1158288297,2316608270,23166082670,FALSE,,
+,2,63,1158349358 + 1158292424,2316641782,2316641782,TRUE,,
+,2,64,1158332366 + 1158377593,2316709959,2316709959,TRUE,,
+,2,65,1158353451 + 1158338023,2316691474,2316691474,TRUE,,
+,2,66,1158306285 + 1158361259,2316667544,2316667544,TRUE,,
+,2,67,1158358495 + 1158368929,2316727424,2316727424,TRUE,,
+,2,68,1158288330 + 1158320524,2316608854,2316608854,TRUE,,
+,2,69,1158343090 + 1158304110,2316647200,2316647200,TRUE,,
+,2,70,1158365959 + 1158341861,2316707820,2316707820,TRUE,,
+,2,71,1158333850 + 1158290001,2316623851,2316624851,FALSE,,
+,2,72,1158380912 + 1158384595,2316765507,2316765507,TRUE,,
+,2,73,1158376707 + 1158354015,2316730722,2316730722,TRUE,,
+,2,74,1158355667 + 1158300236,2316655903,2316656903,FALSE,,
+,2,75,1158310503 + 1158289979,2316600482,2316600482,TRUE,,
+,2,76,1158335918 + 1158306554,2316642472,2316642472,TRUE,,
+,2,77,1158384442 + 1158290662,2316675104,2316675104,TRUE,,
+,2,78,1158308030 + 1158320324,2316628354,2316628354,TRUE,,
+,2,79,1158334553 + 1158382154,2316716707,2316716707,TRUE,,
+,2,80,1158313758 + 1158321891,2316635649,2316635649,TRUE,,
+,2,81,1158318337 + 1158374279,2316692616,2316692616,TRUE,,
+,2,82,1158373026 + 1158351726,2316724752,2316724752,TRUE,,
+,2,83,1158357293 + 1158310455,2316667748,2316667748,TRUE,,
+,2,84,1158354464 + 1158329715,2316684179,2316684179,TRUE,,
+,2,85,1158368883 + 1158329310,2316698193,2316698193,TRUE,,
+,2,86,1158310325 + 1158369608,2316679933,2316679933,TRUE,,
+,2,87,1158348351 + 1158363693,2316712044,2316712044,TRUE,,
+,2,88,1158384723 + 1158348646,2316733369,2316733369,TRUE,,
+,2,89,1158304640 + 1158347429,2316652069,2316652069,TRUE,,
+,2,90,1158360217 + 1158373569,2316733786,2316733786,TRUE,,
+,2,91,1158375779 + 1158300231,2316676010,2316676010,TRUE,,
+,2,92,1158359685 + 1158378883,2316738568,2316738568,TRUE,,
+,2,93,1158304659 + 1158343135,2316647794,2316647794,TRUE,,
+,2,94,1158384526 + 1158367744,2316752270,2316752270,TRUE,,
+,2,95,1158308892 + 1158351622,2316660514,2316660514,TRUE,,
+,2,96,1158304230 + 1158378563,2316682793,2316682793,TRUE,,
+,2,97,1158301016 + 1158307197,2316608213,2316608213,TRUE,,
+,2,98,1158325563 + 1158316899,2316642462,2316642462,TRUE,,
+,2,99,1158377369 + 1158360842,2316738211,2316738211,TRUE,,
+,2,100,1158317810 + 1158293711,2316611521,2316611521,TRUE,,
+,2,101,1158338486 + 1158302759,2316641245,2316641245,TRUE,,
+,2,102,1158349034 + 1158328500,2316677534,2316677534,TRUE,,
+,2,103,1158331312 + 1158359581,2316690893,2316690893,TRUE,,
+,2,104,1158365074 + 1158336020,2316701094,2316701094,TRUE,,
+,2,105,1158363603 + 1158289172,2316652775,2316652775,TRUE,,
+,2,106,1158321455 + 1158290984,2316612439,2316612439,TRUE,,
+,2,107,1158327783 + 1158316122,2316643905,2316643905,TRUE,,
+,2,108,1158368239 + 1158345089,2316713328,2316713328,TRUE,,
+,2,109,1158336514 + 1158345902,2316682416,2316682416,TRUE,,
+,2,110,1158291123 + 1158323310,2316614433,2316614433,TRUE,,
+,2,111,1158355190 + 1158383593,2316738783,2316738783,TRUE,,
+,2,112,1158295387 + 1158309448,2316604835,2316604835,TRUE,,
+,2,113,1158324869 + 1158348513,2316673382,2316673382,TRUE,,
+,2,114,1158323796 + 1158319662,2316643458,2316643458,TRUE,,
+,2,115,1158354700 + 1158327953,2316682653,2316682653,TRUE,,
+,2,116,1158359233 + 1158341248,2316700481,2316700481,TRUE,,
+,2,117,1158317195 + 1158328592,2316645787,2316645787,TRUE,,
+,2,118,1158367507 + 1158324848,2316692355,2316692355,TRUE,,
+,2,119,1158346995 + 1158320787,2316667782,2316667782,TRUE,,
+,2,120,1158297747 + 1158296321,2316594068,2316594068,TRUE,,
+,2,121,1158325433 + 1158290961,2316616394,2316616394,TRUE,,
+,2,122,1158302681 + 1158362509,2316665190,23166651890,FALSE,,
+,2,123,1158348655 + 1158292935,2316641590,2316641590,TRUE,,
+,2,124,1158370271 + 1158376433,2316746704,2316746704,TRUE,,
+,2,125,1158288661 + 1158313144,2316601805,2316602805,FALSE,,
+,2,126,1158342081 + 1158356852,2316698933,2316698933,TRUE,,
+,2,127,1158355395 + 1158386055,2316741450,2316741450,TRUE,,
+,2,128,1158352031 + 1158350604,2316702635,2316702635,TRUE,,
+,2,129,1158319661 + 1158333562,2316653223,2316653223,TRUE,,
+,2,130,1158294661 + 1158304097,2316598758,2316598758,TRUE,,
+,2,131,1158298581 + 1158375257,2316673838,2316673838,TRUE,,
+,2,132,1158387841 + 1158309225,2316697066,2316697066,TRUE,,
+,2,133,1158343767 + 1158350957,2316694724,2316694724,TRUE,,
+,2,134,1158343055 + 1158387190,2316730245,2316730245,TRUE,,
+,2,135,1158358683 + 1158294878,2316653561,2316653561,TRUE,,
+,2,136,1158322728 + 1158368980,2316691708,2316691708,TRUE,,
+,2,137,1158378547 + 1158387525,2316766072,2316766072,TRUE,,
+,2,138,1158306385 + 1158375910,2316682295,2316682295,TRUE,,
+,2,139,1158308466 + 1158289112,2316597578,2316597578,TRUE,,
+,2,140,1158368358 + 1158302946,2316671304,2316671304,TRUE,,
+,2,141,1158367022 + 1158320514,2316687536,2316687536,TRUE,,
+,2,142,1158313477 + 1158294829,2316608306,2316608306,TRUE,,
+,2,143,1158321282 + 1158346874,2316668156,2316668156,TRUE,,
+,2,144,1158335328 + 1158295022,2316630350,2316630350,TRUE,,
+,2,145,1158344938 + 1158353009,2316697947,2316697947,TRUE,,
+,2,146,1158368934 + 1158360501,2316729435,2316729435,TRUE,,
+,2,147,1158324376 + 1158327255,2316651631,2316651631,TRUE,,
+,2,148,1158384776 + 1158384157,2316768933,2316768933,TRUE,,
+,2,149,1158295653 + 1158386016,2316681669,2316681669,TRUE,,
+,2,150,1158318763 + 1158301858,2316620621,2316620621,TRUE,,
+,2,151,1158373354 + 1158296631,2316669985,2316669985,TRUE,,
+,2,152,1158340817 + 1158368508,2316709325,2316709325,TRUE,,
+,2,153,1158333965 + 1158325167,2316659132,2316659132,TRUE,,
+,2,154,1158364766 + 1158388193,2316752959,2316752959,TRUE,,
+,2,155,1158295397 + 1158315239,2316610636,2316610636,TRUE,,
+,2,156,1158353992 + 1158297035,2316651027,2316651027,TRUE,,
+,2,157,1158358899 + 1158382014,2316740913,2316740913,TRUE,,
+,2,158,1158348697 + 1158298472,2316647169,2316647169,TRUE,,
+,2,159,1158359074 + 1158358507,2316717581,2316717581,TRUE,,
+,2,160,1158381976 + 1158384418,2316766394,2316766394,TRUE,,
+,2,161,1158350810 + 1158332170,2316682980,2316682980,TRUE,,
+,2,162,1158334590 + 1158346238,2316680828,2316680828,TRUE,,
+,2,163,1158359253 + 1158379991,2316739244,2316739244,TRUE,,
+,2,164,1158290988 + 1158315612,2316606600,2316606600,TRUE,,
+,2,165,1158312801 + 1158299421,2316612222,2316612222,TRUE,,
+,2,166,1158335818 + 1158330278,2316666096,2316666096,TRUE,,
+,2,167,1158298486 + 1158354147,2316652633,2316652633,TRUE,,
+,2,168,1158338016 + 1158371183,2316709199,2316709199,TRUE,,
+,2,169,1158325747 + 1158366270,2316692017,2316692017,TRUE,,
+,2,170,1158375241 + 1158332675,2316707916,2316707916,TRUE,,
+,2,171,1158318316 + 1158375496,2316693812,2316693812,TRUE,,
+,2,172,1158342343 + 1158367808,2316710151,2316710151,TRUE,,
+,2,173,1158380082 + 1158336487,2316716569,2316716569,TRUE,,
+,2,174,1158347243 + 1158289630,2316636873,2316635873,FALSE,,
+,2,175,1158298752 + 1158292079,2316590831,2316590831,TRUE,,
+,2,176,1158316540 + 1158365337,2316681877,2316681877,TRUE,,
+,2,177,1158353542 + 1158359191,2316712733,2316712733,TRUE,,
+,2,178,1158349304 + 1158321743,2316671047,2316671047,TRUE,,
+,2,179,1158307882 + 1158377336,2316685218,2316685218,TRUE,,
+,2,180,1158300509 + 1158334965,2316635474,2316635474,TRUE,,
+,2,181,1158361462 + 1158381185,2316742647,2316742647,TRUE,,
+,2,182,1158385513 + 1158304780,2316690293,2316690293,TRUE,,
+,2,183,1158326002 + 1158361274,2316687276,2316687276,TRUE,,
+,2,184,1158307382 + 1158366982,2316674364,2316674364,TRUE,,
+,2,185,1158296681 + 1158356238,2316652919,2316652919,TRUE,,
+,2,186,1158327316 + 1158289744,2316617060,2316616070,FALSE,,
+,2,187,1158370960 + 1158312481,2316683441,2316683441,TRUE,,
+,2,188,1158330231 + 1158338399,2316668630,2316668630,TRUE,,
+,2,189,1158310405 + 1158351373,2316661778,2316661778,TRUE,,
+,2,190,1158329959 + 1158363845,2316693804,2316693804,TRUE,,
+,2,191,1158318002 + 1158309780,2316627782,2316627782,TRUE,,
+,2,192,1158311668 + 1158349772,2316661440,2316661440,TRUE,,
+,2,193,1158327893 + 1158364738,2316692631,2316692631,TRUE,,
+,2,194,1158355220 + 1158317067,2316672287,2316672287,TRUE,,
+,2,195,1158322385 + 1158301502,2316623887,2316623887,TRUE,,
+,2,196,1158368058 + 1158290621,2316658679,2316658679,TRUE,,
+,2,197,1158364382 + 1158332545,2316696927,2316696927,TRUE,,
+,2,198,1158313574 + 1158355354,2316668928,2316668928,TRUE,,
+,2,199,1158345470 + 1158361773,2316707243,2316707243,TRUE,,
+,2,200,1158326789 + 1158347638,2316674427,2316674427,TRUE,,
+,2,201,1158347701 + 1158331818,2316679519,2316679519,TRUE,,
+,2,202,1158362156 + 1158321618,2316683774,2316683774,TRUE,,
+,2,203,1158314842 + 1158307466,2316622308,2316622308,TRUE,,
+,2,204,1158296056 + 1158388061,2316684117,2316684117,TRUE,,
+,2,205,1158387847 + 1158310579,2316698426,2316698426,TRUE,,
+,2,206,1158289717 + 1158369900,2316659617,2316659617,TRUE,,
+,2,207,1158324745 + 1158358044,2316682789,2316682789,TRUE,,
+,2,208,1158294266 + 1158341202,2316635468,2316635468,TRUE,,
+,2,209,1158311144 + 1158294966,2316606110,2316606110,TRUE,,
+,2,210,1158304908 + 1158359959,2316664867,2316664867,TRUE,,
+,2,211,1158293057 + 1158302586,2316595643,2316595643,TRUE,,
+,2,212,1158336133 + 1158317245,2316653378,2316653378,TRUE,,
+,2,213,1158304369 + 1158291008,2316595377,2316596377,FALSE,,
+,2,214,1158379736 + 1158299165,2316678901,2316678901,TRUE,,
+,2,215,1158353061 + 1158337149,2316690210,2316690210,TRUE,,
+,2,216,1158341642 + 1158370001,2316711643,2316712643,FALSE,,
+,2,217,1158347986 + 1158351885,2316699871,2316699871,TRUE,,
+,2,218,1158356139 + 1158295579,2316651718,2316651718,TRUE,,
+,2,219,1158324867 + 1158323881,2316648748,2316648748,TRUE,,
+,2,220,1158361626 + 1158373186,2316734812,2316734812,TRUE,,
+,2,221,1158378763 + 1158297698,2316676461,2316676461,TRUE,,
+,2,222,1158369234 + 1158343198,2316712432,2316712432,TRUE,,
+,2,223,1158347337 + 1158376572,2316723909,2316723909,TRUE,,
+,2,224,1158348418 + 1158335936,2316684354,2316684354,TRUE,,
+,2,225,1158330324 + 1158322811,2316653135,2316653135,TRUE,,
+,2,226,1158377202 + 1158336089,2316713291,2316713291,TRUE,,
+,2,227,1158336590 + 1158335453,2316672043,2316672043,TRUE,,
+,2,228,1158316380 + 1158363085,2316679465,2316679465,TRUE,,
+,2,229,1158371539 + 1158336422,2316707961,2316707961,TRUE,,
+,2,230,1158297227 + 1158372520,2316669747,2316669747,TRUE,,
+,2,231,1158372570 + 1158366251,2316738821,2316738821,TRUE,,
+,2,232,1158302068 + 1158292510,2316594578,2316594578,TRUE,,
+,2,233,1158313013 + 1158295928,2316608941,2316608941,TRUE,,
+,2,234,1158336136 + 1158332568,2316668704,2316668704,TRUE,,
+,2,235,1158346534 + 1158360946,2316707480,2316707480,TRUE,,
+,2,236,1158369562 + 1158319553,2316689115,2316689115,TRUE,,
+,2,237,1158356137 + 1158350565,2316706702,2316706702,TRUE,,
+,2,238,1158308682 + 1158362952,2316671634,2316671634,TRUE,,
+,2,239,1158305637 + 1158347368,2316653005,2316653005,TRUE,,
+,2,240,1158364377 + 1158289980,2316654357,2316654357,TRUE,,
+,2,241,1158344955 + 1158357485,2316702440,2316702440,TRUE,,
+,2,242,1158356412 + 1158299389,2316655801,2316655801,TRUE,,
+,2,243,1158364915 + 1158328279,2316693194,2316693194,TRUE,,
+,2,244,1158326781 + 1158348116,2316674897,2316674897,TRUE,,
+,2,245,1158293179 + 1158313459,2316606638,2316606638,TRUE,,
+,2,246,1158317609 + 1158348826,2316666435,2316665435,FALSE,,
+,2,247,1158319376 + 1158336418,2316655794,2316655794,TRUE,,
+,2,248,1158300699 + 1158318542,2316619241,2316619241,TRUE,,
+,2,249,1158294006 + 1158350479,2316644485,2316645485,FALSE,,
+,2,250,1158337554 + 1158369862,2316707416,2316707416,TRUE,,
+,2,251,1158294481 + 1158305189,2316599670,2316599670,TRUE,,
+,2,252,1158297031 + 1158301675,2316598706,2316598706,TRUE,,
+,2,253,1158337140 + 1158373099,2316710239,2316710239,TRUE,,
+,2,254,1158385202 + 1158320468,2316705670,2316705670,TRUE,,
+,2,255,1158338428 + 1158371639,2316710067,2316710067,TRUE,,
+,2,256,1158339836 + 1158388208,2316728044,2316728044,TRUE,,
+,2,257,1158299766 + 1158335392,2316635158,2316635158,TRUE,,
+,2,258,1158355856 + 1158294639,2316650495,2316649995,FALSE,,
+,2,259,1158315943 + 1158339333,2316655276,2316655276,TRUE,,
+,2,260,1158382276 + 1158344469,2316726745,2316726745,TRUE,,
+,2,261,1158346592 + 1158309276,2316655868,2316654868,FALSE,,
+,2,262,1158311721 + 1158317281,2316629002,2316629002,TRUE,,
+,2,263,1158378638 + 1158364020,2316742658,2316742658,TRUE,,
+,2,264,1158371012 + 1158335696,2316706708,2316706708,TRUE,,
+,2,265,1158364441 + 1158316236,2316680677,2316680677,TRUE,,
+,2,266,1158383047 + 1158322874,2316705921,2316705921,TRUE,,
+,2,267,1158322005 + 1158369198,2316691203,2316691203,TRUE,,
+,2,268,1158366217 + 1158309664,2316675881,2316674881,FALSE,,
+,2,269,1158295136 + 1158355257,2316650393,2316650393,TRUE,,
+,2,270,1158360419 + 1158344142,2316704561,2316704561,TRUE,,
+,2,271,1158334167 + 1158300322,2316634489,2316634489,TRUE,,
+,2,272,1158312286 + 1158362132,2316674418,2316674418,TRUE,,
+,2,273,1158325115 + 1158366245,2316691360,2316691360,TRUE,,
+,2,274,1158381268 + 1158318142,2316699410,2316699410,TRUE,,
+,2,275,1158290764 + 1158335741,2316626505,2316626505,TRUE,,
+,2,276,1158289704 + 1158349243,2316638947,2316638947,TRUE,,
+,2,277,1158364661 + 1158346267,2316710928,2316710928,TRUE,,
+,2,278,1158340962 + 1158319661,2316660623,2316660623,TRUE,,
+,2,279,1158307012 + 1158325576,2316632588,2316632588,TRUE,,
+,2,280,1158325244 + 1158348025,2316673269,2316672269,FALSE,,
+,2,281,1158338154 + 1158291795,2316629949,2316630949,FALSE,,
+,2,282,1158329751 + 1158387397,2316717148,2316717148,TRUE,,
+,2,283,1158378277 + 1158343784,2316722061,2316722061,TRUE,,
+,2,284,1158295601 + 1158338039,2316633640,2316633640,TRUE,,
+,2,285,1158370806 + 1158359377,2316730183,2316730183,TRUE,,
+,2,286,1158318043 + 1158364821,2316682864,2316682864,TRUE,,
+,2,287,1158353838 + 1158386093,2316739931,2316739931,TRUE,,
+,2,288,1158308854 + 1158381677,2316690531,2316690531,TRUE,,
+,2,289,1158373181 + 1158387423,2316760604,2316760604,TRUE,,
+,2,290,1158372613 + 1158352302,2316724915,2316724915,TRUE,,
+,2,291,1158371376 + 1158310216,2316681592,2316681592,TRUE,,
+,2,292,1158380788 + 1158387160,2316767948,2316767948,TRUE,,
+,2,293,1158326481 + 1158365371,2316691852,2316691852,TRUE,,
+,2,294,1158302696 + 1158292773,2316595469,2316595469,TRUE,,
+,2,295,1158347034 + 1158333714,2316680748,2316680748,TRUE,,
+,2,296,1158358185 + 1158380515,2316738700,2316738700,TRUE,,
+,2,297,1158381523 + 1158361921,2316743444,2316743444,TRUE,,
+,2,298,1158367458 + 1158294643,2316662101,2316662101,TRUE,,
+,2,299,1158387434 + 1158338930,2316726364,2316726364,TRUE,,
+,2,300,1158326385 + 1158320602,2316646987,2316646987,TRUE,,
+,2,301,1158294080 + 1158311465,2316605545,2316605545,TRUE,,
+,2,302,1158337736 + 1158325763,2316663499,2316663500,FALSE,,
+,2,303,1158289970 + 1158320235,2316610205,2316610205,TRUE,,
+,2,304,1158363149 + 1158357990,2316721139,2316721139,TRUE,,
+,2,305,1158335463 + 1158378675,2316714138,2316714138,TRUE,,
+,2,306,1158376879 + 1158350043,2316726922,2316726922,TRUE,,
+,2,307,1158377929 + 1158309499,2316687428,2316687428,TRUE,,
+,2,308,1158356856 + 1158330762,2316687618,2316687618,TRUE,,
+,2,309,1158315684 + 1158300137,2316615821,2316615821,TRUE,,
+,2,310,1158377334 + 1158368671,2316746005,2316746005,TRUE,,
+,2,311,1158341724 + 1158378692,2316720416,2316720416,TRUE,,
+,2,312,1158289129 + 1158296669,2316585798,2316585798,TRUE,,
+,2,313,1158329424 + 1158377326,2316706750,2316706750,TRUE,,
+,2,314,1158294335 + 1158385075,2316679410,2316679070,FALSE,,
+,2,315,1158322195 + 1158351968,2316674163,2316674163,TRUE,,
+,2,316,1158303399 + 1158304433,2316607832,2316607832,TRUE,,
+,2,317,1158336944 + 1158356810,2316693754,2316693754,TRUE,,
+,2,318,1158360657 + 1158302375,2316663032,2316663032,TRUE,,
+,2,319,1158304756 + 1158328568,2316633324,2316633324,TRUE,,
+,2,320,1158336726 + 1158323550,2316660276,2316660276,TRUE,,
+,2,321,1158289218 + 1158354121,2316643339,2316643339,TRUE,,
+,2,322,1158364969 + 1158333626,2316698595,2316698595,TRUE,,
+,2,323,1158353565 + 1158314244,2316667809,2316667809,TRUE,,
+,2,324,1158332090 + 1158315705,2316647795,2316647795,TRUE,,
+,2,325,1158356655 + 1158323724,2316680379,2316680379,TRUE,,
+,2,326,1158383227 + 1158359029,2316742256,2316742256,TRUE,,
+,2,327,1158351022 + 1158377946,2316728968,2316728968,TRUE,,
+,2,328,1158344017 + 1158349776,2316693793,2316693793,TRUE,,
+,2,329,1158384846 + 1158375241,2316760087,2316760087,TRUE,,
+,2,330,1158378070 + 1158290657,2316668727,2316668727,TRUE,,
+,2,331,1158374510 + 1158379882,2316754392,2316754392,TRUE,,
+,2,332,1158365148 + 1158328650,2316693798,2316693798,TRUE,,
+,2,333,1158361547 + 1158308506,2316670053,2316670053,TRUE,,
+,2,334,1158330085 + 1158332794,2316662879,2316662879,TRUE,,
+,2,335,1158334814 + 1158365676,2316700490,2316700490,TRUE,,
+,2,336,1158297794 + 1158340188,2316637982,2316637982,TRUE,,
+,2,337,1158385956 + 1158309396,2316695352,2316695352,TRUE,,
+,2,338,1158374685 + 1158301688,2316676373,2316676373,TRUE,,
+,2,339,1158350997 + 1158340037,2316691034,2316691034,TRUE,,
+,2,340,1158295928 + 1158335761,2316631689,2316631689,TRUE,,
+,2,341,1158325623 + 1158345757,2316671380,2316671380,TRUE,,
+,2,342,1158330754 + 1158360850,2316691604,2316691604,TRUE,,
+,2,343,1158308908 + 1158292107,2316601015,2316601015,TRUE,,
+,2,344,1158378485 + 1158320792,2316699277,2316699277,TRUE,,
+,2,345,1158311453 + 1158307473,2316618926,2316618926,TRUE,,
+,2,346,1158303855 + 1158312538,2316616393,2316616393,TRUE,,
+,2,347,1158337594 + 1158317981,2316655575,2316655575,TRUE,,
+,2,348,1158365917 + 1158356096,2316722013,2316722013,TRUE,,
+,2,349,1158385472 + 1158293172,2316678644,2316678644,TRUE,,
+,2,350,1158367790 + 1158347141,2316714931,2316714931,TRUE,,
+,2,351,1158313031 + 1158290698,2316603729,2316603729,TRUE,,
+,2,352,1158381360 + 1158340881,2316722241,2316722241,TRUE,,
+,2,353,1158370848 + 1158321578,2316692426,2316692426,TRUE,,
+,2,354,1158300526 + 1158386636,2316687162,2316687162,TRUE,,
+,2,355,1158367318 + 1158314751,2316682069,2316682070,FALSE,,
+,2,356,1158380996 + 1158384615,2316765611,2316765611,TRUE,,
+,2,357,1158383005 + 1158352196,2316735201,2316735201,TRUE,,
+,2,358,1158369464 + 1158380976,2316750440,2316750440,TRUE,,
+,2,359,1158383303 + 1158293926,2316677229,2316677229,TRUE,,
+,2,360,1158375310 + 1158359445,2316734755,2316733755,FALSE,,
+,2,361,1158308346 + 1158378093,2316686439,2316686439,TRUE,,
+,2,362,1158379834 + 1158353485,2316733319,2316733319,TRUE,,
+,2,363,1158343337 + 1158328621,2316671958,2316671958,TRUE,,
+,2,364,1158384278 + 1158319486,2316703764,2316703764,TRUE,,
+,2,365,1158314965 + 1158361474,2316676439,2316676439,TRUE,,
+,2,366,1158316530 + 1158348464,2316664994,2316663994,FALSE,,
+,2,367,1158297495 + 1158356581,2316654076,2316654076,TRUE,,
+,2,368,1158301578 + 1158318614,2316620192,2316620192,TRUE,,
+,2,369,1158336749 + 1158350119,2316686868,2316686868,TRUE,,
+,2,370,1158377849 + 1158311772,2316689621,2316689621,TRUE,,
+,2,371,1158354095 + 1158379339,2316733434,2316733434,TRUE,,
+,2,372,1158363130 + 1158297411,2316660541,2316660541,TRUE,,
+,2,373,1158343068 + 1158324321,2316667389,2316667389,TRUE,,
+,2,374,1158321443 + 1158379150,2316700593,2316700593,TRUE,,
+,2,375,1158339181 + 1158347302,2316686483,2316686483,TRUE,,
+,2,376,1158344246 + 1158328343,2316672589,2316672599,FALSE,,
+,2,377,1158319194 + 1158309452,2316628646,2316628646,TRUE,,
+,2,378,1158355082 + 1158329837,2316684919,2316684919,TRUE,,
+,2,379,1158330883 + 1158306905,2316637788,2316637788,TRUE,,
+,2,380,1158295258 + 1158386526,2316681784,2316681784,TRUE,,
+,2,381,1158342050 + 1158342265,2316684315,2316684315,TRUE,,
+,2,382,1158354575 + 1158347008,2316701583,2316701583,TRUE,,
+,2,383,1158386361 + 1158357673,2316744034,2316744034,TRUE,,
+,2,384,1158381526 + 1158383077,2316764603,2316764603,TRUE,,
+,2,385,1158344268 + 1158315260,2316659528,2316659528,TRUE,,
+,2,386,1158317924 + 1158306506,2316624430,2316624430,TRUE,,
+,2,387,1158321160 + 1158350586,2316671746,2316671746,TRUE,,
+,2,388,1158316846 + 1158352943,2316669789,2316670789,FALSE,,
+,2,389,1158336850 + 1158310283,2316647133,2316647133,TRUE,,
+,2,390,1158333757 + 1158379228,2316712985,2316712985,TRUE,,
+,2,391,1158326666 + 1158299712,2316626378,2316625378,FALSE,,
+,2,392,1158330162 + 1158334369,2316664531,2316664531,TRUE,,
+,2,393,1158350180 + 1158319456,2316669636,2316669636,TRUE,,
+,2,394,1158308695 + 1158372840,2316681535,2316681535,TRUE,,
+,2,395,1158368258 + 1158340129,2316708387,2316708387,TRUE,,
