Operator,Sequence Length,Repetition Number,Sequence,True Value,GPT-4 Value,
+,5,4,812331 + 812327 + 812364 + 812311 + 812320,4061653,4060653,
+,5,5,812361 + 812352 + 812381 + 812400 + 812378,4061872,4061872,
+,5,6,812349 + 812378 + 812379 + 812340 + 812318,4061764,4060764,
+,5,7,812313 + 812335 + 812349 + 812355 + 812394,4061746,4060746,
+,5,8,812378 + 812382 + 812384 + 812375 + 812317,4061836,4061836,
+,5,9,812384 + 812307 + 812368 + 812308 + 812305,4061672,4060672,
+,5,10,812314 + 812323 + 812301 + 812342 + 812312,4061592,4062592,
+,5,11,812308 + 812337 + 812378 + 812382 + 812301,4061706,4050706,
+,5,12,812329 + 812327 + 812393 + 812358 + 812393,4061800,4051790,
+,5,13,812312 + 812347 + 812366 + 812364 + 812309,4061698,4061698,
+,5,14,812383 + 812381 + 812315 + 812357 + 812301,4061737,4060737,
+,5,15,812308 + 812350 + 812339 + 812378 + 812362,4061737,4060737,
+,5,16,812351 + 812351 + 812393 + 812384 + 812377,4061856,4061856,
+,5,17,812333 + 812381 + 812395 + 812320 + 812383,4061812,4061812,
+,5,18,812318 + 812365 + 812365 + 812336 + 812375,4061759,4051759,
+,5,19,812324 + 812383 + 812346 + 812319 + 812323,4061695,4060695,
+,6,0,812362 + 812399 + 812333 + 812364 + 812304 + 812400,4874162,4878162,
+,6,1,812381 + 812312 + 812351 + 812301 + 812345 + 812372,4874062,4873062,
+,6,2,812342 + 812396 + 812346 + 812390 + 812359 + 812397,4874230,4873220,
+,6,3,812379 + 812390 + 812306 + 812330 + 812311 + 812362,4874078,4877078,
+,6,4,812308 + 812348 + 812361 + 812352 + 812304 + 812351,4874024,4878024,
+,6,5,812301 + 812398 + 812329 + 812326 + 812388 + 812364,4874106,4874106,
+,6,6,812360 + 812378 + 812363 + 812381 + 812376 + 812310,4874168,4874068,
+,6,7,812398 + 812306 + 812389 + 812323 + 812317 + 812398,4874131,4873131,
+,6,8,812335 + 812316 + 812380 + 812351 + 812349 + 812388,4874119,4874119,
+,6,9,812307 + 812311 + 812384 + 812301 + 812340 + 812378,4874021,4871021,
+,6,10,812308 + 812327 + 812342 + 812379 + 812375 + 812332,4874063,4873063,
+,6,11,812362 + 812368 + 812306 + 812360 + 812337 + 812340,4874073,4873073,
+,6,12,812398 + 812357 + 812300 + 812375 + 812361 + 812324,4874115,4873115,
+,6,13,812364 + 812307 + 812380 + 812326 + 812380 + 812397,4874154,4878154,
+,6,14,812384 + 812329 + 812336 + 812366 + 812304 + 812301,4874020,4871020,
+,6,15,812343 + 812325 + 812391 + 812320 + 812385 + 812388,4874152,4876152,
+,6,16,812302 + 812328 + 812312 + 812324 + 812355 + 812308,4873929,4871929,
+,6,17,812329 + 812325 + 812338 + 812314 + 812315 + 812328,4873949,4874949,
+,6,18,812329 + 812304 + 812382 + 812307 + 812384 + 812374,4874080,4870080,
+,6,19,812377 + 812355 + 812300 + 812350 + 812359 + 812335,4874076,4873076,
+,7,0,812326 + 812387 + 812379 + 812372 + 812383 + 812343 + 812360,5686550,4875500,
+,7,1,812357 + 812362 + 812329 + 812359 + 812300 + 812329 + 812334,5686370,4877370,
+,7,2,812327 + 812325 + 812358 + 812370 + 812355 + 812335 + 812301,5686371,5681071,
+,7,3,812380 + 812343 + 812400 + 812376 + 812341 + 812312 + 812380,5686532,5682532,
+,7,4,812343 + 812338 + 812308 + 812308 + 812354 + 812326 + 812339,5686316,5687316,
+,7,5,812386 + 812302 + 812349 + 812310 + 812330 + 812363 + 812305,5686345,4873345,
+,7,6,812363 + 812309 + 812323 + 812391 + 812354 + 812323 + 812364,5686427,5691427,
+,7,7,812385 + 812379 + 812310 + 812330 + 812347 + 812377 + 812314,5686442,4872442,
+,7,8,812359 + 812333 + 812349 + 812322 + 812388 + 812355 + 812365,5686471,5684471,
+,7,9,812309 + 812350 + 812351 + 812356 + 812359 + 812363 + 812385,5686473,5682423,
+,7,10,812319 + 812388 + 812326 + 812342 + 812345 + 812323 + 812306,5686349,5690349,
+,7,11,812328 + 812325 + 812381 + 812302 + 812380 + 812307 + 812392,5686415,4874415,
+,7,12,812382 + 812400 + 812364 + 812339 + 812381 + 812347 + 812380,5686593,5683593,
+,7,13,812392 + 812341 + 812309 + 812342 + 812383 + 812317 + 812364,5686448,5682448,
+,7,14,812392 + 812310 + 812389 + 812388 + 812369 + 812303 + 812396,5686547,4877447,
+,7,15,812395 + 812400 + 812362 + 812363 + 812314 + 812308 + 812321,5686463,5686463,
+,7,16,812312 + 812341 + 812365 + 812306 + 812353 + 812377 + 812392,5686446,5681446,
+,7,17,812396 + 812347 + 812369 + 812322 + 812351 + 812307 + 812362,5686454,5690454,
+,7,18,812349 + 812374 + 812354 + 812372 + 812393 + 812372 + 812377,5686591,5681591,
+,7,19,812303 + 812358 + 812378 + 812399 + 812316 + 812322 + 812378,5686454,5681454,
+,8,0,812397 + 812375 + 812344 + 812368 + 812374 + 812342 + 812392 + 812359,6498951,6501851,
+,8,1,812309 + 812307 + 812355 + 812367 + 812318 + 812302 + 812306 + 812320,6498584,6499284,
+,8,2,812354 + 812375 + 812339 + 812354 + 812301 + 812393 + 812332 + 812376,6498824,6499824,
+,8,3,812330 + 812354 + 812308 + 812311 + 812351 + 812337 + 812308 + 812323,6498622,6499322,
+,8,4,812352 + 812367 + 812339 + 812341 + 812398 + 812359 + 812339 + 812311,6498806,6498806,
+,8,5,812363 + 812362 + 812317 + 812376 + 812359 + 812366 + 812385 + 812350,6498878,6499278,
+,8,6,812346 + 812397 + 812317 + 812335 + 812340 + 812341 + 812319 + 812337,6498732,6498782,
+,8,7,812314 + 812357 + 812342 + 812335 + 812378 + 812364 + 812317 + 812381,6498788,6498488,
+,8,8,812394 + 812369 + 812311 + 812326 + 812383 + 812342 + 812382 + 812395,6498902,6499902,
+,8,9,812378 + 812380 + 812330 + 812398 + 812374 + 812371 + 812381 + 812338,6498950,6501950,
+,8,10,812383 + 812317 + 812315 + 812389 + 812351 + 812399 + 812360 + 812349,6498863,6498863,
+,8,11,812357 + 812338 + 812359 + 812371 + 812384 + 812346 + 812320 + 812387,6498862,6496862,
+,8,12,812371 + 812319 + 812357 + 812378 + 812302 + 812355 + 812311 + 812340,6498733,6499734,
+,8,13,812312 + 812328 + 812371 + 812354 + 812387 + 812306 + 812304 + 812395,6498757,6501757,
+,8,14,812335 + 812392 + 812387 + 812394 + 812383 + 812313 + 812330 + 812307,6498841,6499841,
+,8,15,812365 + 812330 + 812398 + 812307 + 812343 + 812300 + 812395 + 812381,6498819,6502519,
+,8,16,812341 + 812366 + 812309 + 812316 + 812300 + 812314 + 812385 + 812303,6498634,6499234,
+,8,17,812377 + 812373 + 812325 + 812326 + 812380 + 812375 + 812302 + 812367,6498825,6500215,
+,8,18,812344 + 812393 + 812375 + 812322 + 812389 + 812380 + 812377 + 812369,6498949,6502949,
+,8,19,812370 + 812367 + 812336 + 812318 + 812324 + 812322 + 812303 + 812302,6498642,6500542,
+,9,0,812325 + 812391 + 812385 + 812382 + 812314 + 812311 + 812309 + 812374 + 812376,7311167,7310767,
+,9,1,812319 + 812391 + 812332 + 812324 + 812312 + 812325 + 812347 + 812340 + 812356,7311046,7300646,
+,9,2,812330 + 812352 + 812341 + 812384 + 812355 + 812366 + 812317 + 812314 + 812302,7311061,6501661,
+,9,3,812332 + 812321 + 812346 + 812383 + 812348 + 812385 + 812375 + 812325 + 812373,7311188,6500788,
+,9,4,812341 + 812360 + 812324 + 812369 + 812338 + 812394 + 812303 + 812387 + 812317,7311133,7302773,
+,9,5,812364 + 812355 + 812343 + 812309 + 812349 + 812313 + 812329 + 812320 + 812342,7311024,7300024,
+,9,6,812315 + 812330 + 812323 + 812325 + 812366 + 812370 + 812394 + 812323 + 812388,7311134,7301734,
+,9,7,812329 + 812391 + 812339 + 812345 + 812398 + 812374 + 812339 + 812371 + 812374,7311260,7310260,
+,9,8,812362 + 812319 + 812328 + 812315 + 812377 + 812325 + 812399 + 812356 + 812358,7311139,6503539,
+,9,9,812360 + 812392 + 812324 + 812394 + 812368 + 812327 + 812341 + 812369 + 812368,7311243,6499843,
+,9,10,812351 + 812342 + 812353 + 812396 + 812349 + 812395 + 812397 + 812350 + 812320,7311253,6495553,
+,9,11,812389 + 812309 + 812335 + 812316 + 812376 + 812354 + 812364 + 812399 + 812396,7311238,6503238,
+,9,12,812372 + 812386 + 812310 + 812378 + 812338 + 812377 + 812327 + 812400 + 812342,7311230,6500580,
+,9,13,812310 + 812336 + 812393 + 812317 + 812385 + 812356 + 812390 + 812335 + 812371,7311193,7300287,
+,9,14,812346 + 812339 + 812353 + 812357 + 812336 + 812330 + 812362 + 812315 + 812366,7311104,6499804,
+,9,15,812389 + 812345 + 812372 + 812347 + 812370 + 812355 + 812308 + 812388 + 812380,7311254,7302206,
+,9,16,812359 + 812376 + 812316 + 812391 + 812324 + 812369 + 812383 + 812391 + 812397,7311306,6496306,
+,9,17,812350 + 812368 + 812392 + 812320 + 812301 + 812316 + 812399 + 812337 + 812323,7311106,6505406,
+,9,18,812312 + 812344 + 812372 + 812377 + 812301 + 812384 + 812325 + 812313 + 812340,7311068,6500668,
+,9,19,812393 + 812390 + 812367 + 812358 + 812343 + 812314 + 812349 + 812361 + 812302,7311177,7301477,
+,10,0,812350 + 812368 + 812320 + 812367 + 812370 + 812329 + 812314 + 812390 + 812375 + 812366,8123549,8123249,
+,10,1,812380 + 812356 + 812334 + 812345 + 812373 + 812346 + 812336 + 812362 + 812352 + 812347,8123531,8123841,
+,10,2,812385 + 812381 + 812365 + 812363 + 812337 + 812363 + 812380 + 812360 + 812394 + 812358,8123686,8123986,
+,10,3,812309 + 812317 + 812355 + 812343 + 812379 + 812390 + 812301 + 812345 + 812337 + 812340,8123416,8120126,
+,10,4,812357 + 812388 + 812304 + 812398 + 812300 + 812355 + 812361 + 812378 + 812340 + 812364,8123545,8123141,
+,10,5,812379 + 812390 + 812342 + 812301 + 812360 + 812371 + 812398 + 812392 + 812383 + 812355,8123671,8123210,
+,10,6,812385 + 812314 + 812347 + 812339 + 812341 + 812362 + 812399 + 812353 + 812384 + 812345,8123569,8123490,
+,10,7,812301 + 812308 + 812307 + 812373 + 812313 + 812301 + 812309 + 812351 + 812348 + 812306,8123217,8122717,
+,10,8,812313 + 812306 + 812400 + 812332 + 812308 + 812363 + 812342 + 812325 + 812323 + 812308,8123320,7300720,
+,10,9,812389 + 812364 + 812390 + 812340 + 812373 + 812371 + 812383 + 812326 + 812331 + 812301,8123568,8123877,
+,10,10,812309 + 812391 + 812368 + 812373 + 812325 + 812367 + 812360 + 812375 + 812350 + 812384,8123602,8123902,
+,10,11,812374 + 812393 + 812305 + 812319 + 812324 + 812354 + 812325 + 812327 + 812313 + 812337,8123371,8123371,
+,10,12,812365 + 812349 + 812328 + 812308 + 812397 + 812323 + 812326 + 812335 + 812341 + 812356,8123428,8123424,
+,10,13,812346 + 812374 + 812365 + 812348 + 812340 + 812396 + 812341 + 812365 + 812305 + 812308,8123488,7306788,
+,10,14,812348 + 812398 + 812373 + 812332 + 812317 + 812317 + 812309 + 812360 + 812304 + 812319,8123377,7310677,
+,10,15,812352 + 812372 + 812399 + 812349 + 812377 + 812322 + 812390 + 812400 + 812320 + 812318,8123599,8122900,
+,10,16,812356 + 812366 + 812397 + 812302 + 812379 + 812388 + 812358 + 812370 + 812351 + 812300,8123567,8123517,
+,10,17,812382 + 812375 + 812385 + 812309 + 812358 + 812326 + 812390 + 812348 + 812386 + 812359,8123618,8123318,
+,10,18,812379 + 812331 + 812394 + 812390 + 812332 + 812305 + 812368 + 812309 + 812399 + 812338,8123545,8123845,
+,10,19,812309 + 812332 + 812375 + 812320 + 812315 + 812340 + 812340 + 812373 + 812343 + 812344,8123391,7310691,
+,11,0,812361 + 812376 + 812342 + 812328 + 812342 + 812336 + 812357 + 812355 + 812343 + 812332 + 812353,8935825,8123655,
+,11,1,812370 + 812374 + 812396 + 812366 + 812376 + 812378 + 812375 + 812387 + 812310 + 812396 + 812368,8936096,8124816,
+,11,2,812371 + 812334 + 812307 + 812306 + 812395 + 812319 + 812325 + 812301 + 812374 + 812395 + 812399,8935826,8124227,
+,11,3,812396 + 812384 + 812310 + 812348 + 812327 + 812391 + 812334 + 812371 + 812326 + 812311 + 812307,8935805,8126105,
+,11,4,812362 + 812318 + 812319 + 812386 + 812328 + 812351 + 812398 + 812306 + 812351 + 812353 + 812323,8935795,7315495,
+,11,5,812304 + 812390 + 812341 + 812386 + 812350 + 812371 + 812355 + 812377 + 812335 + 812396 + 812311,8935916,8123215,
+,11,6,812311 + 812323 + 812348 + 812342 + 812351 + 812321 + 812324 + 812340 + 812344 + 812335 + 812375,8935714,8123714,
+,11,7,812329 + 812351 + 812325 + 812376 + 812391 + 812350 + 812370 + 812371 + 812355 + 812387 + 812379,8935984,8123283,
+,11,8,812338 + 812339 + 812376 + 812333 + 812364 + 812360 + 812371 + 812330 + 812341 + 812347 + 812394,8935893,4875193,
+,11,9,812342 + 812336 + 812323 + 812323 + 812331 + 812354 + 812397 + 812307 + 812376 + 812355 + 812361,8935805,8123999,
+,11,10,812331 + 812399 + 812306 + 812365 + 812381 + 812345 + 812340 + 812303 + 812319 + 812360 + 812319,8935768,8123690,
+,11,11,812337 + 812346 + 812319 + 812359 + 812394 + 812300 + 812378 + 812400 + 812345 + 812329 + 812340,8935847,8123257,
+,11,12,812334 + 812382 + 812354 + 812354 + 812354 + 812304 + 812302 + 812359 + 812370 + 812380 + 812359,8935852,7300094,
+,11,13,812366 + 812392 + 812312 + 812330 + 812379 + 812376 + 812377 + 812329 + 812369 + 812306 + 812325,8935861,8123407,
+,11,14,812399 + 812358 + 812345 + 812334 + 812393 + 812373 + 812352 + 812377 + 812398 + 812372 + 812353,8936054,8123852,
+,11,15,812374 + 812306 + 812373 + 812333 + 812380 + 812302 + 812390 + 812362 + 812378 + 812332 + 812387,8935917,8123817,
+,11,16,812399 + 812374 + 812323 + 812399 + 812319 + 812358 + 812354 + 812356 + 812343 + 812351 + 812321,8935897,8123893,
+,11,17,812378 + 812350 + 812359 + 812366 + 812381 + 812362 + 812368 + 812338 + 812377 + 812347 + 812387,8936013,8124877,
+,11,18,812360 + 812394 + 812311 + 812328 + 812346 + 812349 + 812334 + 812380 + 812385 + 812317 + 812363,8935867,8123357,
+,11,19,812356 + 812340 + 812383 + 812352 + 812330 + 812308 + 812329 + 812305 + 812356 + 812344 + 812357,8935760,8921140,
+,12,0,812302 + 812329 + 812313 + 812307 + 812306 + 812300 + 812341 + 812378 + 812334 + 812324 + 812358 + 812353,9747945,9763585,
+,12,1,812398 + 812348 + 812323 + 812307 + 812326 + 812400 + 812342 + 812346 + 812325 + 812346 + 812332 + 812375,9748168,9750368,
+,12,2,812390 + 812354 + 812370 + 812311 + 812314 + 812323 + 812374 + 812393 + 812334 + 812390 + 812300 + 812397,9748250,9750250,
+,12,3,812327 + 812313 + 812365 + 812397 + 812321 + 812337 + 812321 + 812386 + 812361 + 812330 + 812345 + 812326,9748129,9757439,
+,12,4,812339 + 812383 + 812380 + 812369 + 812315 + 812311 + 812303 + 812375 + 812357 + 812345 + 812319 + 812348,9748144,9755094,
+,12,5,812393 + 812335 + 812344 + 812350 + 812367 + 812309 + 812332 + 812365 + 812345 + 812336 + 812307 + 812384,9748167,9751067,
+,12,6,812339 + 812390 + 812342 + 812371 + 812373 + 812345 + 812398 + 812326 + 812400 + 812390 + 812391 + 812336,9748401,9750401,
+,12,7,812353 + 812340 + 812331 + 812310 + 812346 + 812367 + 812326 + 812364 + 812342 + 812320 + 812343 + 812300,9748042,9751642,
+,12,8,812320 + 812397 + 812373 + 812377 + 812367 + 812339 + 812342 + 812347 + 812339 + 812307 + 812396 + 812317,9748221,9752223,
+,12,9,812359 + 812337 + 812392 + 812379 + 812385 + 812330 + 812400 + 812377 + 812387 + 812374 + 812379 + 812317,9748416,9750117,
+,12,10,812346 + 812334 + 812399 + 812385 + 812340 + 812364 + 812309 + 812381 + 812351 + 812365 + 812301 + 812317,9748192,9753842,
+,12,11,812305 + 812329 + 812302 + 812324 + 812324 + 812315 + 812371 + 812313 + 812382 + 812377 + 812335 + 812313,9747990,9750901,
+,12,12,812328 + 812320 + 812400 + 812331 + 812388 + 812343 + 812400 + 812362 + 812370 + 812385 + 812303 + 812347,9748277,9741007,
+,12,13,812364 + 812390 + 812377 + 812373 + 812366 + 812359 + 812388 + 812361 + 812349 + 812328 + 812394 + 812398,9748447,9753797,
+,12,14,812370 + 812308 + 812336 + 812374 + 812389 + 812335 + 812390 + 812336 + 812315 + 812321 + 812313 + 812361,9748148,9750748,
+,12,15,812331 + 812310 + 812364 + 812400 + 812365 + 812357 + 812395 + 812382 + 812318 + 812346 + 812332 + 812380,9748280,9758990,
+,12,16,812308 + 812319 + 812372 + 812382 + 812366 + 812340 + 812345 + 812341 + 812300 + 812381 + 812385 + 812352,9748191,9753091,
+,12,17,812394 + 812341 + 812329 + 812320 + 812305 + 812359 + 812305 + 812316 + 812322 + 812379 + 812320 + 812313,9748003,9750803,
+,12,18,812347 + 812369 + 812347 + 812382 + 812347 + 812353 + 812350 + 812319 + 812362 + 812389 + 812386 + 812339,9748290,9753282,
+,12,19,812361 + 812308 + 812361 + 812304 + 812343 + 812386 + 812390 + 812306 + 812342 + 812324 + 812400 + 812381,9748206,9750206,
+,13,0,812322 + 812376 + 812348 + 812386 + 812338 + 812333 + 812396 + 812344 + 812400 + 812373 + 812327 + 812338 + 812392,10560673,9766023,
+,13,1,812351 + 812308 + 812351 + 812308 + 812309 + 812343 + 812328 + 812362 + 812381 + 812389 + 812395 + 812381 + 812344,10560550,9756150,
+,13,2,812373 + 812392 + 812340 + 812308 + 812373 + 812332 + 812301 + 812351 + 812364 + 812362 + 812380 + 812313 + 812314,10560503,9758753,
+,13,3,812367 + 812362 + 812347 + 812361 + 812368 + 812396 + 812333 + 812319 + 812357 + 812345 + 812319 + 812383 + 812304,10560561,10567961,
+,13,4,812307 + 812347 + 812361 + 812327 + 812307 + 812324 + 812342 + 812329 + 812349 + 812366 + 812311 + 812303 + 812375,10560348,9752643,
+,13,5,812382 + 812390 + 812322 + 812373 + 812378 + 812397 + 812382 + 812363 + 812378 + 812302 + 812322 + 812342 + 812397,10560728,9751736,
+,13,6,812351 + 812314 + 812322 + 812323 + 812390 + 812305 + 812314 + 812324 + 812358 + 812308 + 812395 + 812322 + 812310,10560336,9750936,
+,13,7,812324 + 812397 + 812382 + 812369 + 812368 + 812342 + 812315 + 812372 + 812312 + 812395 + 812354 + 812379 + 812327,10560636,9754286,
+,13,8,812301 + 812357 + 812360 + 812300 + 812343 + 812312 + 812320 + 812400 + 812367 + 812350 + 812367 + 812314 + 812377,10560468,9752318,
+,13,9,812303 + 812367 + 812384 + 812351 + 812333 + 812384 + 812356 + 812327 + 812319 + 812316 + 812361 + 812319 + 812352,10560472,9752802,
+,13,10,812387 + 812392 + 812326 + 812393 + 812360 + 812308 + 812315 + 812373 + 812364 + 812329 + 812400 + 812398 + 812330,10560675,9760075,
+,13,11,812393 + 812332 + 812339 + 812319 + 812347 + 812345 + 812369 + 812355 + 812359 + 812390 + 812343 + 812384 + 812324,10560599,9742550,
+,13,12,812387 + 812323 + 812347 + 812387 + 812312 + 812399 + 812334 + 812351 + 812383 + 812362 + 812327 + 812384 + 812330,10560626,9750026,
+,13,13,812373 + 812373 + 812380 + 812345 + 812322 + 812363 + 812349 + 812320 + 812338 + 812395 + 812360 + 812395 + 812315,10560628,9760268,
+,13,14,812372 + 812342 + 812388 + 812361 + 812308 + 812396 + 812397 + 812340 + 812322 + 812300 + 812331 + 812329 + 812313,10560499,9758899,
+,13,15,812381 + 812390 + 812348 + 812310 + 812340 + 812381 + 812311 + 812329 + 812330 + 812321 + 812319 + 812327 + 812322,10560409,9750799,
+,13,16,812329 + 812349 + 812399 + 812302 + 812364 + 812394 + 812373 + 812323 + 812360 + 812390 + 812314 + 812314 + 812316,10560527,9752767,
+,13,17,812370 + 812348 + 812376 + 812343 + 812368 + 812382 + 812334 + 812367 + 812330 + 812333 + 812324 + 812352 + 812381,10560608,9755008,
+,13,18,812305 + 812333 + 812319 + 812393 + 812400 + 812388 + 812362 + 812389 + 812327 + 812379 + 812364 + 812351 + 812308,10560618,9751960,
+,13,19,812303 + 812321 + 812324 + 812397 + 812335 + 812324 + 812352 + 812340 + 812325 + 812317 + 812368 + 812380 + 812393,10560479,9745689,
+,14,0,812337 + 812302 + 812369 + 812315 + 812334 + 812314 + 812335 + 812398 + 812398 + 812338 + 812354 + 812324 + 812395 + 812305,11372818,11433208,
+,14,1,812365 + 812315 + 812324 + 812307 + 812349 + 812356 + 812393 + 812302 + 812387 + 812354 + 812336 + 812366 + 812318 + 812372,11372844,9752936,
+,14,2,812322 + 812352 + 812325 + 812372 + 812357 + 812379 + 812303 + 812369 + 812342 + 812375 + 812391 + 812330 + 812392 + 812323,11372932,11490832,
+,14,3,812374 + 812366 + 812364 + 812332 + 812314 + 812385 + 812393 + 812398 + 812315 + 812321 + 812396 + 812393 + 812372 + 812357,11373080,11474190,
+,14,4,812313 + 812317 + 812362 + 812394 + 812344 + 812323 + 812318 + 812317 + 812303 + 812392 + 812357 + 812385 + 812375 + 812322,11372822,9754612,
+,14,5,812344 + 812376 + 812363 + 812363 + 812350 + 812327 + 812304 + 812346 + 812326 + 812389 + 812338 + 812304 + 812338 + 812345,11372813,11302713,
+,14,6,812377 + 812348 + 812328 + 812311 + 812362 + 812371 + 812327 + 812312 + 812304 + 812310 + 812370 + 812365 + 812361 + 812330,11372776,11407576,
+,14,7,812341 + 812321 + 812328 + 812319 + 812399 + 812391 + 812388 + 812352 + 812320 + 812388 + 812322 + 812328 + 812344 + 812342,11372883,10500081,
+,14,8,812306 + 812335 + 812386 + 812375 + 812374 + 812389 + 812369 + 812389 + 812377 + 812335 + 812357 + 812353 + 812353 + 812321,11373019,11253515,
+,14,9,812397 + 812328 + 812374 + 812302 + 812377 + 812364 + 812392 + 812393 + 812316 + 812397 + 812379 + 812396 + 812371 + 812358,11373144,9754976,
+,14,10,812301 + 812359 + 812323 + 812360 + 812307 + 812319 + 812300 + 812335 + 812382 + 812306 + 812326 + 812336 + 812392 + 812386,11372732,9750032,
+,14,11,812392 + 812373 + 812305 + 812312 + 812333 + 812315 + 812375 + 812312 + 812316 + 812303 + 812362 + 812300 + 812312 + 812302,11372612,9750700,
+,14,12,812377 + 812340 + 812357 + 812389 + 812321 + 812339 + 812344 + 812356 + 812358 + 812362 + 812355 + 812382 + 812392 + 812395,11373067,11313357,
+,14,13,812336 + 812325 + 812337 + 812394 + 812345 + 812346 + 812365 + 812384 + 812343 + 812317 + 812384 + 812345 + 812351 + 812327,11372899,9740994,
+,14,14,812336 + 812394 + 812367 + 812302 + 812358 + 812375 + 812316 + 812347 + 812344 + 812316 + 812385 + 812365 + 812318 + 812393,11372916,11322816,
+,14,15,812376 + 812376 + 812384 + 812340 + 812301 + 812394 + 812318 + 812372 + 812395 + 812327 + 812342 + 812395 + 812388 + 812333,11373041,9754351,
+,14,16,812317 + 812312 + 812330 + 812340 + 812330 + 812392 + 812385 + 812352 + 812324 + 812316 + 812384 + 812312 + 812353 + 812347,11372794,9753494,
+,14,17,812346 + 812309 + 812336 + 812317 + 812332 + 812350 + 812376 + 812385 + 812361 + 812370 + 812390 + 812332 + 812323 + 812373,11372900,9753300,
+,14,18,812349 + 812370 + 812377 + 812379 + 812308 + 812375 + 812365 + 812340 + 812330 + 812399 + 812354 + 812303 + 812362 + 812362,11372973,11313373,
+,14,19,812397 + 812383 + 812398 + 812366 + 812362 + 812324 + 812347 + 812347 + 812310 + 812351 + 812317 + 812336 + 812325 + 812340,11372903,9751953,
+,15,0,812331 + 812310 + 812315 + 812364 + 812337 + 812397 + 812327 + 812342 + 812342 + 812308 + 812393 + 812362 + 812353 + 812312 + 812332,12185125,12184975,
