Operator,Sequence Length,Repetition Number,Sequence,True Value,GPT-4 Value,
-,8,12,61 - 103 - 7 - 31 - 43 - 17 - 97 - 43,-280,-270,
-,8,13,71 - 61 - 67 - 29 - 73 - 67 - 19 - 13,-258,-258,
-,8,14,83 - 5 - 47 - 103 - 31 - 53 - 31 - 103,-290,-290,
-,8,15,71 - 5 - 43 - 53 - 11 - 101 - 19 - 3,-164,-164,
-,8,16,79 - 5 - 19 - 2 - 17 - 17 - 97 - 127,-205,-205,
-,8,17,113 - 19 - 97 - 107 - 19 - 107 - 53 - 7,-296,-296,
-,8,18,103 - 19 - 31 - 19 - 37 - 17 - 101 - 43,-164,-64,
-,8,19,61 - 67 - 29 - 7 - 113 - 73 - 67 - 101,-396,-396,
-,9,0,3 - 71 - 29 - 47 - 97 - 83 - 3 - 47 - 59,-433,-433,
-,9,1,43 - 97 - 23 - 23 - 19 - 59 - 113 - 23 - 113,-427,-327,
-,9,2,23 - 59 - 47 - 109 - 23 - 67 - 31 - 7 - 5,-325,-325,
-,9,3,101 - 79 - 7 - 113 - 103 - 31 - 107 - 2 - 79,-420,-420,
-,9,4,47 - 37 - 109 - 103 - 13 - 53 - 79 - 61 - 29,-437,-437,
-,9,5,41 - 61 - 101 - 29 - 71 - 89 - 17 - 2 - 31,-360,-360,
-,9,6,113 - 7 - 43 - 2 - 47 - 13 - 17 - 71 - 89,-176,-176,
-,9,7,29 - 101 - 3 - 127 - 41 - 113 - 3 - 11 - 37,-407,-407,
-,9,8,31 - 23 - 101 - 61 - 109 - 107 - 83 - 13 - 47,-513,-513,
-,9,9,107 - 13 - 73 - 89 - 97 - 23 - 79 - 2 - 23,-292,-292,
-,9,10,5 - 83 - 19 - 7 - 89 - 37 - 83 - 13 - 101,-427,-418,
-,9,11,67 - 107 - 11 - 71 - 31 - 127 - 71 - 103 - 37,-491,-591,
-,9,12,47 - 41 - 29 - 43 - 5 - 127 - 97 - 73 - 107,-475,-475,
-,9,13,79 - 113 - 37 - 113 - 103 - 103 - 59 - 73 - 13,-535,-625,
-,9,14,47 - 101 - 7 - 7 - 71 - 109 - 13 - 7 - 43,-311,-304,
-,9,15,103 - 101 - 2 - 107 - 29 - 59 - 11 - 59 - 59,-324,-324,
-,9,16,61 - 97 - 3 - 113 - 79 - 89 - 71 - 7 - 7,-405,-405,
-,9,17,23 - 5 - 7 - 71 - 29 - 11 - 11 - 83 - 31,-225,-225,
-,9,18,107 - 13 - 43 - 79 - 11 - 17 - 61 - 53 - 79,-249,-249,
-,9,19,2 - 109 - 5 - 53 - 79 - 41 - 109 - 103 - 79,-576,-577,
-,10,0,107 - 7 - 127 - 7 - 41 - 59 - 73 - 2 - 3 - 47,-259,-249,
-,10,1,127 - 59 - 109 - 73 - 7 - 3 - 71 - 13 - 89 - 19,-316,-316,
-,10,2,37 - 5 - 19 - 101 - 89 - 2 - 97 - 79 - 7 - 41,-403,-403,
-,10,3,109 - 89 - 2 - 73 - 29 - 127 - 7 - 107 - 41 - 73,-439,-530,
-,10,4,71 - 113 - 5 - 97 - 47 - 43 - 89 - 67 - 71 - 73,-534,-604,
-,10,5,89 - 73 - 7 - 67 - 43 - 83 - 23 - 47 - 47 - 3,-304,-311,
-,10,6,7 - 79 - 2 - 59 - 89 - 113 - 23 - 97 - 59 - 71,-585,-583,
-,10,7,59 - 31 - 59 - 79 - 37 - 59 - 41 - 2 - 79 - 23,-351,-372,
-,10,8,47 - 31 - 59 - 97 - 67 - 23 - 31 - 79 - 11 - 79,-430,-430,
-,10,9,127 - 17 - 61 - 7 - 73 - 37 - 101 - 103 - 73 - 101,-446,-442,
-,10,10,7 - 43 - 13 - 5 - 113 - 79 - 13 - 127 - 2 - 23,-411,-411,
-,10,11,11 - 29 - 67 - 2 - 83 - 107 - 11 - 7 - 59 - 17,-371,-371,
-,10,12,41 - 101 - 107 - 101 - 37 - 89 - 71 - 107 - 73 - 5,-650,-710,
-,10,13,11 - 7 - 47 - 19 - 7 - 101 - 19 - 53 - 3 - 43,-288,-288,
-,10,14,97 - 7 - 107 - 11 - 23 - 11 - 101 - 71 - 71 - 5,-310,-310,
-,10,15,11 - 79 - 17 - 83 - 29 - 31 - 109 - 79 - 41 - 101,-558,-558,
-,10,16,47 - 89 - 79 - 3 - 19 - 29 - 97 - 2 - 5 - 107,-383,-373,
-,10,17,67 - 61 - 59 - 47 - 19 - 79 - 13 - 41 - 127 - 97,-476,-486,
-,10,18,109 - 7 - 53 - 7 - 11 - 89 - 29 - 11 - 103 - 17,-218,-211,
-,10,19,61 - 2 - 67 - 59 - 83 - 127 - 73 - 7 - 13 - 113,-483,-573,
-,11,0,83 - 103 - 101 - 3 - 79 - 83 - 103 - 3 - 59 - 47 - 43,-541,-651,
-,11,1,59 - 47 - 97 - 19 - 5 - 109 - 103 - 41 - 41 - 89 - 89,-581,-592,
-,11,2,43 - 89 - 61 - 101 - 43 - 23 - 79 - 53 - 103 - 89 - 53,-651,-702,
-,11,3,61 - 11 - 127 - 17 - 97 - 2 - 47 - 67 - 73 - 113 - 13,-506,-506,
-,11,4,127 - 47 - 37 - 97 - 53 - 5 - 2 - 37 - 3 - 5 - 79,-238,-238,
-,11,5,31 - 113 - 59 - 73 - 113 - 103 - 101 - 41 - 71 - 3 - 61,-707,-707,
-,11,6,107 - 97 - 61 - 47 - 41 - 5 - 109 - 23 - 53 - 113 - 31,-473,-368,
-,11,7,41 - 113 - 127 - 107 - 61 - 7 - 71 - 29 - 107 - 113 - 19,-713,-706,
-,11,8,11 - 13 - 19 - 5 - 2 - 11 - 103 - 5 - 73 - 71 - 61,-352,-352,
-,11,10,109 - 31 - 41 - 13 - 109 - 97 - 113 - 43 - 41 - 23 - 3,-405,-405,
-,11,11,71 - 31 - 107 - 59 - 79 - 41 - 41 - 107 - 37 - 67 - 17,-515,-715,
-,11,12,47 - 31 - 103 - 13 - 31 - 61 - 19 - 89 - 59 - 97 - 109,-565,-575,
-,11,13,37 - 59 - 71 - 79 - 59 - 47 - 3 - 53 - 5 - 67 - 47,-453,-503,
-,11,14,41 - 79 - 101 - 5 - 11 - 97 - 19 - 73 - 73 - 103 - 31,-551,-641,
-,11,15,41 - 79 - 7 - 41 - 97 - 101 - 61 - 109 - 31 - 127 - 37,-649,-649,
-,11,16,59 - 53 - 19 - 103 - 23 - 101 - 17 - 37 - 73 - 67 - 67,-501,-499,
-,11,17,41 - 37 - 17 - 23 - 67 - 61 - 29 - 127 - 43 - 71 - 83,-517,-517,
-,11,18,17 - 103 - 59 - 109 - 73 - 71 - 59 - 83 - 61 - 97 - 29,-727,-827,
-,11,19,113 - 89 - 23 - 3 - 13 - 113 - 97 - 107 - 89 - 113 - 41,-575,-570,
-,12,0,3 - 3 - 13 - 107 - 41 - 67 - 83 - 43 - 107 - 29 - 61 - 89,-640,-740,
-,12,1,71 - 19 - 31 - 13 - 89 - 103 - 13 - 3 - 7 - 73 - 2 - 127,-409,-408,
-,12,2,17 - 97 - 103 - 23 - 2 - 31 - 3 - 101 - 127 - 17 - 19 - 79,-585,-686,
-,12,3,13 - 17 - 3 - 107 - 79 - 11 - 37 - 113 - 43 - 53 - 107 - 53,-610,-709,
-,12,4,73 - 2 - 73 - 71 - 41 - 2 - 71 - 127 - 43 - 101 - 67 - 59,-584,-680,
-,12,5,41 - 11 - 53 - 41 - 113 - 37 - 19 - 73 - 5 - 41 - 73 - 59,-484,-484,
-,12,6,41 - 31 - 23 - 29 - 2 - 37 - 103 - 103 - 2 - 113 - 47 - 103,-552,-702,
-,12,7,61 - 71 - 109 - 127 - 41 - 107 - 37 - 31 - 19 - 79 - 59 - 83,-702,-812,
-,12,8,53 - 13 - 113 - 43 - 109 - 53 - 43 - 13 - 97 - 67 - 83 - 71,-652,-759,
-,12,9,19 - 53 - 109 - 59 - 101 - 103 - 109 - 97 - 107 - 59 - 3 - 37,-818,-829,
-,12,10,7 - 61 - 71 - 2 - 5 - 47 - 113 - 53 - 103 - 47 - 2 - 71,-568,-688,
-,12,11,19 - 107 - 43 - 73 - 59 - 3 - 37 - 3 - 61 - 31 - 53 - 53,-504,-505,
-,12,12,73 - 89 - 59 - 29 - 47 - 73 - 71 - 53 - 103 - 47 - 89 - 7,-594,-695,
-,12,13,37 - 127 - 3 - 17 - 41 - 67 - 127 - 101 - 7 - 7 - 3 - 2,-465,-468,
-,12,14,89 - 89 - 2 - 101 - 89 - 79 - 37 - 37 - 29 - 101 - 127 - 3,-605,-715,
-,12,15,83 - 97 - 101 - 89 - 71 - 67 - 43 - 11 - 41 - 37 - 17 - 89,-580,-631,
-,12,16,53 - 97 - 19 - 31 - 23 - 43 - 67 - 19 - 103 - 73 - 113 - 29,-564,-565,
-,12,17,23 - 71 - 53 - 61 - 43 - 109 - 13 - 23 - 11 - 103 - 13 - 5,-482,-482,
-,12,18,101 - 127 - 5 - 61 - 73 - 127 - 19 - 83 - 59 - 11 - 113 - 31,-608,-708,
-,12,19,53 - 37 - 5 - 79 - 23 - 101 - 19 - 31 - 73 - 109 - 107 - 127,-658,-748,
-,13,0,83 - 89 - 43 - 107 - 107 - 43 - 23 - 41 - 71 - 107 - 101 - 83 - 47,-779,-805,
-,13,1,71 - 61 - 97 - 7 - 59 - 67 - 47 - 2 - 3 - 83 - 41 - 107 - 5,-508,-308,
-,13,2,127 - 71 - 17 - 103 - 17 - 11 - 19 - 103 - 67 - 3 - 29 - 47 - 59,-419,-319,
-,13,3,19 - 97 - 71 - 41 - 43 - 83 - 41 - 11 - 11 - 11 - 29 - 103 - 59,-581,-681,
-,13,4,23 - 41 - 89 - 23 - 103 - 19 - 13 - 59 - 31 - 107 - 7 - 71 - 53,-593,-593,
-,13,5,37 - 61 - 29 - 11 - 71 - 19 - 103 - 73 - 5 - 107 - 43 - 113 - 67,-665,-675,
-,13,6,41 - 107 - 19 - 67 - 67 - 53 - 79 - 89 - 109 - 97 - 79 - 29 - 107,-861,-950,
-,13,7,43 - 61 - 23 - 41 - 3 - 53 - 43 - 79 - 127 - 113 - 47 - 19 - 127,-693,-599,
-,13,8,7 - 13 - 67 - 109 - 19 - 67 - 73 - 103 - 89 - 2 - 59 - 41 - 19,-654,-729,
-,13,9,113 - 107 - 109 - 71 - 23 - 53 - 31 - 61 - 73 - 97 - 101 - 19 - 67,-699,-799,
-,13,10,97 - 109 - 5 - 67 - 101 - 31 - 73 - 41 - 17 - 2 - 113 - 61 - 23,-546,-557,
-,13,11,5 - 103 - 3 - 73 - 5 - 73 - 97 - 13 - 31 - 19 - 31 - 3 - 79,-525,-550,
-,13,12,43 - 67 - 101 - 43 - 23 - 11 - 37 - 71 - 83 - 107 - 47 - 37 - 79,-663,-763,
-,13,13,47 - 89 - 71 - 109 - 61 - 101 - 97 - 59 - 97 - 61 - 67 - 2 - 83,-850,-851,
-,13,14,67 - 31 - 2 - 103 - 79 - 97 - 37 - 73 - 2 - 107 - 2 - 89 - 113,-668,-778,
-,13,15,41 - 29 - 7 - 11 - 37 - 89 - 101 - 79 - 29 - 3 - 109 - 61 - 43,-557,-647,
-,13,16,19 - 17 - 73 - 83 - 3 - 83 - 71 - 47 - 19 - 59 - 83 - 3 - 41,-563,-605,
-,13,17,109 - 13 - 31 - 23 - 101 - 109 - 59 - 31 - 29 - 101 - 103 - 101 - 89,-681,-779,
-,13,18,29 - 97 - 73 - 67 - 17 - 41 - 61 - 89 - 5 - 13 - 53 - 127 - 29,-643,-744,
-,13,19,101 - 31 - 79 - 43 - 89 - 79 - 59 - 7 - 37 - 13 - 113 - 29 - 71,-549,-629,
-,14,0,3 - 5 - 67 - 43 - 89 - 107 - 113 - 61 - 53 - 11 - 101 - 101 - 5 - 43,-796,-798,
-,14,1,31 - 103 - 109 - 19 - 79 - 11 - 29 - 29 - 37 - 89 - 11 - 43 - 83 - 41,-652,-742,
-,14,2,61 - 23 - 23 - 47 - 5 - 23 - 89 - 19 - 107 - 59 - 101 - 71 - 2 - 113,-621,-711,
-,14,3,37 - 107 - 127 - 97 - 97 - 73 - 7 - 127 - 79 - 19 - 127 - 53 - 7 - 79,-962,-958,
-,14,4,2 - 29 - 41 - 103 - 127 - 19 - 97 - 97 - 107 - 31 - 23 - 79 - 83 - 5,-839,-940,
-,14,5,59 - 127 - 71 - 83 - 127 - 19 - 73 - 107 - 53 - 109 - 19 - 43 - 89 - 127,-988,-1088,
-,14,6,53 - 37 - 97 - 71 - 71 - 107 - 11 - 113 - 53 - 101 - 7 - 7 - 67 - 19,-708,-725,
-,14,7,2 - 109 - 2 - 41 - 17 - 41 - 97 - 89 - 127 - 41 - 47 - 19 - 7 - 107,-742,-842,
-,14,8,127 - 109 - 3 - 53 - 3 - 103 - 107 - 11 - 73 - 41 - 17 - 97 - 109 - 41,-640,-739,
-,14,9,43 - 43 - 61 - 19 - 89 - 101 - 83 - 103 - 61 - 73 - 97 - 31 - 127 - 47,-892,-998,
-,14,10,71 - 13 - 37 - 19 - 7 - 103 - 103 - 89 - 61 - 101 - 59 - 127 - 5 - 37,-690,-782,
-,14,11,11 - 47 - 127 - 107 - 29 - 107 - 41 - 41 - 107 - 41 - 3 - 53 - 47 - 59,-798,-858,
-,14,12,113 - 73 - 79 - 41 - 89 - 73 - 41 - 5 - 17 - 71 - 61 - 101 - 11 - 37,-586,-705,
-,14,13,37 - 2 - 89 - 17 - 41 - 107 - 41 - 47 - 107 - 19 - 107 - 53 - 79 - 43,-715,-816,
-,14,14,89 - 2 - 61 - 97 - 23 - 97 - 31 - 107 - 97 - 109 - 109 - 2 - 17 - 83,-746,-852,
-,14,15,31 - 43 - 43 - 103 - 71 - 31 - 47 - 23 - 67 - 3 - 3 - 19 - 37 - 53,-512,-521,
-,14,16,11 - 29 - 101 - 101 - 5 - 73 - 23 - 89 - 37 - 17 - 5 - 29 - 67 - 29,-594,-695,
-,14,17,83 - 43 - 109 - 17 - 97 - 109 - 3 - 7 - 59 - 31 - 127 - 59 - 13 - 17,-608,-622,
-,14,18,41 - 67 - 5 - 61 - 31 - 7 - 79 - 89 - 7 - 73 - 37 - 11 - 43 - 59,-528,-518,
-,14,19,59 - 71 - 73 - 67 - 107 - 13 - 59 - 89 - 109 - 109 - 107 - 89 - 19 - 2,-855,-976,
-,15,0,47 - 109 - 127 - 113 - 23 - 89 - 71 - 101 - 107 - 53 - 2 - 89 - 67 - 7 - 23,-934,-1034,
-,15,1,2 - 107 - 83 - 97 - 3 - 79 - 41 - 2 - 3 - 3 - 43 - 113 - 53 - 89 - 89,-803,-806,
-,15,2,73 - 11 - 73 - 19 - 41 - 13 - 61 - 79 - 127 - 71 - 13 - 79 - 43 - 103 - 5,-665,-689,
-,15,3,19 - 109 - 127 - 127 - 67 - 23 - 13 - 59 - 127 - 71 - 5 - 31 - 61 - 61 - 127,-989,-1000,
-,15,4,71 - 101 - 2 - 53 - 103 - 19 - 101 - 7 - 79 - 73 - 41 - 79 - 67 - 29 - 97,-780,-878,
-,15,5,83 - 59 - 113 - 29 - 89 - 127 - 23 - 47 - 103 - 89 - 7 - 5 - 2 - 19 - 7,-636,-828,
-,15,6,127 - 13 - 61 - 23 - 3 - 47 - 103 - 7 - 127 - 79 - 17 - 59 - 37 - 97 - 103,-649,-839,
-,15,7,23 - 47 - 101 - 41 - 113 - 71 - 3 - 59 - 101 - 5 - 89 - 89 - 109 - 5 - 61,-871,-972,
-,15,8,83 - 109 - 7 - 107 - 89 - 3 - 31 - 113 - 83 - 73 - 73 - 7 - 71 - 5 - 79,-767,-876,
-,15,9,97 - 5 - 37 - 7 - 31 - 47 - 17 - 3 - 79 - 23 - 37 - 79 - 107 - 11 - 7,-393,-399,
-,15,10,3 - 61 - 79 - 37 - 103 - 71 - 73 - 53 - 31 - 71 - 11 - 2 - 2 - 97 - 47,-735,-835,
-,15,11,53 - 23 - 59 - 97 - 29 - 23 - 71 - 71 - 73 - 23 - 97 - 41 - 59 - 7 - 89,-709,-800,
-,15,12,17 - 41 - 47 - 83 - 101 - 43 - 97 - 37 - 17 - 127 - 101 - 127 - 19 - 71 - 89,-983,-1000,
-,15,13,109 - 17 - 83 - 113 - 19 - 61 - 107 - 41 - 89 - 5 - 23 - 47 - 53 - 61 - 103,-713,-807,
-,15,14,101 - 3 - 43 - 2 - 17 - 61 - 107 - 37 - 61 - 23 - 67 - 13 - 59 - 89 - 127,-608,-693,
-,15,15,73 - 71 - 23 - 89 - 13 - 11 - 71 - 7 - 19 - 67 - 83 - 31 - 37 - 127 - 5,-581,-493,
-,15,16,7 - 97 - 19 - 2 - 103 - 113 - 2 - 73 - 13 - 11 - 101 - 103 - 61 - 43 - 61,-795,-879,
-,15,17,101 - 113 - 13 - 41 - 17 - 103 - 79 - 13 - 43 - 101 - 31 - 79 - 17 - 53 - 29,-631,-732,
-,15,18,43 - 103 - 11 - 43 - 37 - 53 - 97 - 43 - 53 - 47 - 107 - 113 - 53 - 73 - 43,-833,-999,
-,15,19,31 - 97 - 127 - 19 - 11 - 47 - 71 - 109 - 7 - 103 - 2 - 67 - 79 - 127 - 103,-938,-1028,
-,16,0,47 - 3 - 101 - 31 - 47 - 5 - 7 - 11 - 113 - 17 - 109 - 73 - 59 - 29 - 3 - 2,-563,-625,
-,16,1,2 - 83 - 61 - 31 - 2 - 79 - 5 - 31 - 3 - 29 - 107 - 67 - 83 - 3 - 97 - 103,-782,-790,
-,16,2,97 - 41 - 103 - 19 - 61 - 83 - 113 - 37 - 19 - 101 - 59 - 71 - 103 - 5 - 17 - 29,-764,-788,
-,16,3,59 - 127 - 59 - 71 - 97 - 29 - 2 - 73 - 13 - 47 - 67 - 79 - 79 - 103 - 37 - 83,-907,-991,
-,16,4,59 - 31 - 23 - 41 - 79 - 101 - 17 - 71 - 47 - 109 - 11 - 61 - 13 - 109 - 83 - 107,-844,-844,
-,16,5,43 - 109 - 7 - 37 - 17 - 103 - 19 - 109 - 113 - 97 - 97 - 101 - 107 - 43 - 89 - 53,-1058,-1129,
-,16,6,61 - 113 - 107 - 47 - 109 - 127 - 29 - 67 - 127 - 41 - 19 - 83 - 83 - 71 - 107 - 31,-1100,-1170,
-,16,7,2 - 73 - 71 - 7 - 7 - 53 - 101 - 83 - 107 - 53 - 71 - 67 - 127 - 7 - 73 - 47,-945,-899,
-,16,8,2 - 97 - 41 - 101 - 19 - 13 - 97 - 13 - 113 - 83 - 79 - 11 - 101 - 3 - 19 - 11,-799,-810,
-,16,9,79 - 97 - 3 - 31 - 19 - 37 - 29 - 7 - 5 - 71 - 37 - 113 - 109 - 13 - 79 - 2,-573,-674,
-,16,10,73 - 7 - 3 - 71 - 101 - 41 - 83 - 5 - 23 - 79 - 71 - 73 - 43 - 59 - 19 - 37,-642,-733,
-,16,11,71 - 2 - 37 - 23 - 29 - 127 - 101 - 97 - 11 - 43 - 71 - 101 - 7 - 13 - 59 - 83,-733,-930,
-,16,12,2 - 59 - 31 - 73 - 41 - 41 - 47 - 29 - 7 - 101 - 103 - 53 - 37 - 67 - 29 - 127,-843,-916,
-,16,13,59 - 59 - 41 - 89 - 37 - 19 - 67 - 41 - 19 - 17 - 23 - 37 - 5 - 71 - 103 - 59,-628,-679,
-,16,14,13 - 13 - 101 - 43 - 109 - 7 - 127 - 2 - 61 - 83 - 47 - 127 - 73 - 31 - 7 - 11,-829,-930,
-,16,15,59 - 5 - 19 - 5 - 103 - 47 - 37 - 127 - 97 - 83 - 7 - 37 - 41 - 7 - 67 - 61,-684,-671,
-,16,16,11 - 89 - 59 - 83 - 89 - 5 - 29 - 7 - 107 - 5 - 89 - 89 - 11 - 29 - 11 - 89,-780,-781,
-,16,17,7 - 59 - 101 - 101 - 101 - 23 - 7 - 109 - 11 - 103 - 11 - 61 - 23 - 113 - 17 - 13,-846,-962,
