Operator,Sequence Length,Repetition Number,Sequence,True Value,GPT-4 Value,
*,7,4,43 * 73 * 61 * 67 * 53 * 109 * 97,7189026015317,12610882829249,
*,7,5,11 * 41 * 79 * 103 * 67 * 3 * 97,71549837139,13872622962109,
*,7,6,29 * 79 * 43 * 37 * 73 * 23 * 89,544673155811,750975245509,
*,7,7,19 * 17 * 2 * 31 * 5 * 3 * 5,1501950,4245150,
*,7,8,83 * 97 * 103 * 109 * 5 * 67 * 113,3421659582335,35361527410545,
*,7,9,53 * 3 * 109 * 43 * 2 * 2 * 19,56637708,196634748,
*,7,10,61 * 73 * 61 * 89 * 97 * 19 * 109,4856510923919,29247625882691,
*,7,11,101 * 71 * 3 * 107 * 89 * 17 * 3,10448283249,102789867981,
*,7,12,47 * 17 * 109 * 19 * 41 * 103 * 71,496142360257,1577422219199,
*,7,13,2 * 37 * 101 * 79 * 113 * 67 * 2,8940533332,68121962636,
*,7,14,5 * 43 * 13 * 41 * 107 * 97 * 43,51143404715,13411951531715,
*,7,15,59 * 37 * 67 * 113 * 37 * 31 * 53,1004722826963,109105887141932,
*,7,16,7 * 23 * 53 * 11 * 101 * 11 * 29,3024171997,21544914621,
*,7,17,89 * 43 * 2 * 73 * 13 * 53 * 67,25793206946,887790444,
*,7,18,29 * 79 * 103 * 13 * 67 * 97 * 7,139556555957,1316815344189,
*,7,19,2 * 17 * 107 * 67 * 2 * 67 * 89,2906914796,1582293076,
*,8,0,89 * 7 * 61 * 31 * 17 * 29 * 43 * 41,1023950133787,205621653159149,
*,8,1,5 * 83 * 101 * 13 * 29 * 83 * 3 * 11,43281554745,217432979645,
*,8,2,109 * 2 * 109 * 89 * 19 * 73 * 3 * 107,941574073686,10841773528662,
*,8,3,47 * 59 * 41 * 29 * 41 * 11 * 103 * 101,15469164741041,572081612638747,
*,8,4,2 * 19 * 3 * 107 * 61 * 7 * 109 * 107,60747271998,30630232122,
*,8,5,113 * 107 * 7 * 29 * 103 * 5 * 37 * 23,1075709609345,394639141586710,
*,8,6,71 * 43 * 31 * 17 * 97 * 61 * 41 * 23,8977402177561,433244231772121,
*,8,7,127 * 17 * 7 * 19 * 67 * 7 * 5 * 83,55888856345,28314909315,
*,8,8,7 * 2 * 31 * 43 * 83 * 23 * 2 * 127,9048942532,15720696765716,
*,8,9,47 * 11 * 43 * 83 * 3 * 109 * 89 * 37,1986902583303,15184189182149,
*,8,10,113 * 101 * 103 * 17 * 89 * 47 * 83 * 19,131827349788333,22708725617357,
*,8,11,29 * 89 * 71 * 29 * 113 * 17 * 53 * 89,48154579216603,1772808036383829,
*,8,12,89 * 47 * 73 * 67 * 107 * 31 * 113 * 101,774516753155813,2772970344379261,
*,8,13,109 * 11 * 83 * 107 * 3 * 43 * 23 * 17,537090562041,1984290619741,
*,8,14,41 * 37 * 47 * 2 * 43 * 53 * 19 * 61,376652795878,20457553434,
*,8,15,67 * 101 * 19 * 7 * 67 * 5 * 47 * 89,1261189914355,554362066345,
*,8,16,73 * 73 * 47 * 13 * 71 * 97 * 2 * 31,1390300576886,13846116386642,
*,8,17,79 * 83 * 101 * 11 * 11 * 61 * 53 * 11,2849773328611,4552141819329,
*,8,18,47 * 19 * 107 * 19 * 73 * 7 * 113 * 23,2411104408741,1613490591199,
*,8,19,107 * 113 * 47 * 7 * 127 * 73 * 101 * 7,26073787035583,37508325417199,
*,9,0,29 * 73 * 83 * 53 * 23 * 11 * 47 * 71 * 23,180833706432049,12438395689560961,
*,9,1,67 * 101 * 7 * 29 * 17 * 13 * 3 * 97 * 127,11219698796397,2248412361087119,
*,9,2,7 * 97 * 109 * 79 * 3 * 59 * 67 * 29 * 53,106572535926927,1726782774340739,
*,9,3,37 * 83 * 13 * 127 * 43 * 103 * 101 * 19 * 109,4697145818587339,262987853214371209,
*,9,4,43 * 31 * 67 * 41 * 103 * 79 * 73 * 43 * 37,3460558255399841,1316816808915319491781,
*,9,5,3 * 103 * 67 * 5 * 41 * 73 * 37 * 31 * 31,11016283785015,228666892215135,
*,9,6,37 * 11 * 47 * 71 * 61 * 83 * 127 * 41 * 17,608688423825823,158640627877243847,
*,9,7,3 * 103 * 13 * 97 * 7 * 71 * 59 * 53 * 61,36939215768091,208195363324204,
*,9,8,83 * 7 * 127 * 29 * 37 * 89 * 17 * 11 * 79,104097015854447,13569661564279,
*,9,9,23 * 113 * 109 * 89 * 89 * 5 * 89 * 53 * 47,2487405150453445,370230038418045,
*,9,10,43 * 13 * 71 * 53 * 37 * 29 * 37 * 109 * 71,646297266219163,929624798195431,
*,9,11,101 * 127 * 109 * 47 * 73 * 83 * 71 * 13 * 101,37117052221095197,539002969321561271,
*,9,12,113 * 83 * 79 * 37 * 73 * 23 * 43 * 3 * 113,670971697059711,20604409031834641400,
*,9,13,101 * 113 * 83 * 13 * 2 * 11 * 61 * 71 * 47,55148027621258,20654688981326,
*,9,14,113 * 43 * 67 * 89 * 29 * 113 * 83 * 29 * 17,3885198044231171,2179739271834370849,
*,9,15,7 * 73 * 101 * 19 * 17 * 83 * 113 * 113 * 61,1077729102744791,1229787787910884099,
*,9,16,41 * 5 * 89 * 13 * 103 * 89 * 43 * 43 * 83,333679445310965,28708047890165,
*,9,17,11 * 53 * 13 * 3 * 5 * 43 * 5 * 107 * 7,18307263975,30337907175,
*,9,18,103 * 127 * 113 * 97 * 53 * 31 * 2 * 37 * 19,331218058798778,19448638183968632,
*,9,19,59 * 127 * 67 * 53 * 7 * 101 * 127 * 7 * 83,1388051794906987,22958913955141149,
*,10,0,113 * 2 * 5 * 37 * 89 * 41 * 29 * 23 * 61 * 7,43451796794210,25260626996460,
*,10,1,67 * 103 * 13 * 29 * 31 * 97 * 101 * 103 * 83 * 83,560662602938985313,3594133271331280983791,
*,10,2,2 * 97 * 67 * 127 * 47 * 29 * 107 * 89 * 61 * 71,92797884862960174,13446217240206140,
*,10,3,2 * 109 * 59 * 71 * 17 * 67 * 97 * 11 * 97 * 19,2045409801282518,235617931278220,
*,10,4,71 * 2 * 101 * 127 * 31 * 13 * 113 * 17 * 53 * 109,8146071499879534,19289613903644062,
*,10,5,23 * 113 * 2 * 83 * 7 * 89 * 101 * 127 * 103 * 43,15269794388808106,21932095045181463446,
*,10,6,127 * 53 * 83 * 79 * 47 * 13 * 11 * 109 * 53 * 3,5140937119320717,36312325659448790,
*,10,7,109 * 7 * 47 * 47 * 71 * 29 * 113 * 19 * 7 * 79,4120346847987923,20646022139153718690,
*,10,8,103 * 53 * 7 * 101 * 19 * 29 * 83 * 73 * 23 * 2,592710868761382,96747767483620860,
*,10,9,5 * 127 * 97 * 97 * 5 * 17 * 61 * 53 * 17 * 73,2037575010468575,11147343923641045,
*,10,10,7 * 17 * 19 * 19 * 73 * 59 * 53 * 79 * 127 * 127,12495091416718799,271960669787902167,
*,10,11,47 * 73 * 41 * 13 * 103 * 113 * 3 * 97 * 103 * 101,64434013350329181,82882376219639841100,
*,10,12,103 * 109 * 19 * 103 * 29 * 61 * 103 * 29 * 97 * 29,326578309017473921,66388320388415217000,
*,10,13,47 * 5 * 89 * 73 * 23 * 101 * 107 * 17 * 29 * 19,3554792348917165,15983872882092795,
*,10,14,43 * 53 * 11 * 103 * 71 * 53 * 83 * 3 * 83 * 109,21888318056986623,3395873125842060,
*,10,15,7 * 97 * 17 * 7 * 103 * 67 * 2 * 107 * 5 * 5,2983201200350,2429416694900,
*,10,16,83 * 19 * 97 * 2 * 61 * 61 * 23 * 29 * 41 * 71,2210350431222826,3076745770751537146,
*,10,17,107 * 89 * 23 * 43 * 11 * 29 * 11 * 47 * 23 * 71,2536515303118973,206481528871939320,
*,10,18,59 * 109 * 29 * 2 * 13 * 11 * 101 * 19 * 43 * 101,444536416976938,19309055693858,
*,10,19,43 * 5 * 127 * 31 * 17 * 19 * 101 * 11 * 5 * 5,7593822902875,22811129258125,
*,11,0,71 * 7 * 13 * 41 * 67 * 29 * 13 * 37 * 73 * 19 * 7,2403676269186647,27030159708557599,
*,11,1,53 * 5 * 29 * 67 * 43 * 103 * 101 * 71 * 3 * 103 * 43,217285633378541535,30616581924539188510,
*,11,2,2 * 89 * 31 * 29 * 101 * 7 * 79 * 29 * 11 * 11 * 2,62724840119788,27027080586848,
*,11,3,83 * 127 * 109 * 3 * 47 * 79 * 13 * 59 * 61 * 31 * 29,538318624890750483,390233235741094343557,
*,11,5,41 * 97 * 97 * 109 * 29 * 2 * 37 * 67 * 53 * 53 * 17,288708123584543566,22972971022122818,
*,11,6,19 * 97 * 11 * 3 * 67 * 103 * 97 * 29 * 113 * 29 * 103,398505849638085057,491775154831141444,
*,11,7,43 * 43 * 79 * 23 * 23 * 47 * 31 * 113 * 53 * 41 * 113,3123890767246335131,1144621121974192203,
*,11,8,23 * 11 * 23 * 101 * 71 * 79 * 23 * 79 * 19 * 37 * 89,374761898146057169,342252218171621610983,
*,11,9,67 * 67 * 11 * 79 * 3 * 71 * 19 * 2 * 113 * 67 * 127,30359145882200718,17533831527396660642,
*,11,10,109 * 107 * 79 * 19 * 73 * 29 * 59 * 29 * 19 * 23 * 5,138552152344080985,23350969235518151325,
*,11,11,11 * 19 * 83 * 19 * 97 * 97 * 43 * 43 * 59 * 17 * 89,511857768272984771,353472446258503506690611,
*,11,12,13 * 29 * 67 * 71 * 23 * 2 * 67 * 109 * 71 * 103 * 73,321626679818391818,369668130519276294290,
*,11,13,73 * 47 * 109 * 11 * 83 * 37 * 103 * 31 * 41 * 47 * 23,1787838094527606847,1046991448508310163011,
*,11,14,3 * 37 * 11 * 101 * 97 * 127 * 71 * 101 * 3 * 17 * 97,53893219170466863,17480412177249007325421,
*,11,15,11 * 19 * 79 * 127 * 29 * 113 * 29 * 107 * 31 * 83 * 53,2907709203802477283,1790074766434779391879,
*,11,16,107 * 109 * 127 * 127 * 59 * 23 * 7 * 17 * 5 * 73 * 31,343715474360176415,204963230474845,
*,11,17,103 * 7 * 37 * 5 * 127 * 31 * 53 * 2 * 19 * 29 * 109,3343153903403230,7234585137962710,
*,11,18,31 * 97 * 89 * 41 * 107 * 83 * 47 * 37 * 127 * 79 * 101,171720019671463669321,10651677674313923821,
*,11,19,83 * 61 * 13 * 43 * 53 * 43 * 41 * 59 * 3 * 67 * 13,40769871116427921,12223261131030686107,
*,12,0,67 * 43 * 89 * 97 * 11 * 5 * 127 * 43 * 13 * 3 * 59 * 107,1839247869191280405,24175813924538010,
*,12,1,31 * 13 * 113 * 43 * 89 * 61 * 73 * 127 * 47 * 113 * 19 * 23,228747368322917941601,1903229984246934226212098349,
*,12,2,37 * 43 * 83 * 5 * 79 * 29 * 11 * 37 * 97 * 11 * 103 * 83,5615876017926280315,11547845703158894500,
*,12,3,17 * 23 * 11 * 103 * 71 * 109 * 89 * 5 * 37 * 79 * 61 * 17,4624439442041096315,204964057152978147229,
*,12,4,31 * 11 * 59 * 71 * 17 * 127 * 17 * 59 * 11 * 29 * 47 * 41,1901475405449760349,170510052975486320211,
*,12,5,61 * 19 * 59 * 101 * 79 * 61 * 89 * 53 * 67 * 109 * 43 * 83,4091923186340459631041,6677272453917782099283229,
*,12,6,127 * 37 * 97 * 79 * 43 * 61 * 97 * 67 * 53 * 107 * 101 * 59,20743504545519596567761,871038606189171508586749234109641,
*,12,7,61 * 13 * 107 * 47 * 67 * 107 * 37 * 71 * 103 * 67 * 89 * 41,1891295402661998979139,429578197746061961209902847807,
*,12,8,103 * 47 * 59 * 47 * 19 * 47 * 3 * 43 * 109 * 109 * 101 * 83,154020519338736036783,1541055315980931414801983,
*,12,9,47 * 127 * 89 * 23 * 37 * 2 * 71 * 59 * 2 * 59 * 3 * 13,17430430598371596,13938644538494796,
*,12,10,73 * 79 * 103 * 13 * 47 * 11 * 89 * 13 * 3 * 2 * 37 * 127,130230025583590218,89759683100641416,
*,12,11,61 * 101 * 13 * 59 * 127 * 13 * 2 * 79 * 29 * 59 * 13 * 7,191929678058710046,704466178992980282,
*,12,12,5 * 103 * 113 * 127 * 53 * 61 * 19 * 113 * 113 * 59 * 7 * 67,160409631214890283345,214776627605452672742276659,
*,12,13,73 * 59 * 17 * 19 * 47 * 127 * 7 * 59 * 19 * 113 * 29 * 71,15160635826855801541,13273725039820725912389,
*,12,14,31 * 127 * 17 * 71 * 107 * 2 * 13 * 31 * 47 * 73 * 13 * 43,786002686303790462,5525391194178289020,
*,12,15,5 * 47 * 73 * 11 * 17 * 3 * 31 * 59 * 73 * 11 * 61 * 79,68114529440352615,186785804114215,
*,12,16,23 * 47 * 29 * 97 * 7 * 3 * 67 * 2 * 13 * 5 * 97 * 11,593467984519410,25473814747060,
*,12,17,67 * 59 * 61 * 29 * 83 * 97 * 11 * 79 * 89 * 113 * 71 * 103,3598224645746370853103,19709722757151881465113987,
*,12,18,97 * 71 * 71 * 3 * 67 * 89 * 41 * 13 * 83 * 19 * 13 * 59,5639346268663928691,1277876669149101460873029,
*,12,19,13 * 3 * 61 * 7 * 79 * 17 * 109 * 97 * 7 * 31 * 19 * 97,94569653107115277,151442862333791279,
*,13,0,103 * 53 * 97 * 13 * 103 * 43 * 2 * 73 * 31 * 73 * 61 * 113 * 41,2846842273254900679954,657307862388532738906178254186,
*,13,1,37 * 103 * 13 * 29 * 31 * 41 * 53 * 3 * 103 * 67 * 37 * 61 * 23,104014622290566466713,476497612948844676774140,
*,13,2,97 * 59 * 37 * 97 * 23 * 79 * 59 * 73 * 59 * 83 * 23 * 61 * 107,118167638366345607911141,2403913547451732709382232287187,
*,13,3,71 * 31 * 127 * 71 * 31 * 41 * 43 * 11 * 59 * 11 * 107 * 71 * 83,4882628919564044872289,35925194119682803664167851,
*,13,4,17 * 19 * 47 * 29 * 5 * 2 * 19 * 127 * 47 * 17 * 3 * 13 * 19,6289566124333830,10428703428351460,
*,13,5,13 * 13 * 83 * 73 * 23 * 11 * 61 * 47 * 5 * 29 * 109 * 113 * 101,133976981425660423765,25517036678313919985525,
*,13,6,5 * 107 * 43 * 67 * 43 * 103 * 103 * 41 * 113 * 29 * 67 * 23 * 37,5386474474911597570505,2677302671557526056746148435623310,
*,13,7,67 * 73 * 29 * 53 * 2 * 113 * 3 * 89 * 107 * 101 * 23 * 109 * 107,1315026467493810796302,15592329073778678124492600,
*,13,8,71 * 47 * 29 * 101 * 3 * 79 * 113 * 37 * 67 * 101 * 79 * 13 * 67,4509677804630263610943,30641089508266332792964107,
*,13,9,37 * 107 * 89 * 101 * 11 * 53 * 37 * 101 * 79 * 107 * 41 * 107 * 43,123633309175606811114633,3383498860784023182612742211261,
*,13,10,19 * 61 * 67 * 37 * 43 * 79 * 19 * 109 * 53 * 7 * 73 * 17 * 103,958558282975523217631,2561819858741184624637,
*,13,11,113 * 109 * 97 * 113 * 79 * 101 * 71 * 97 * 79 * 7 * 5 * 43 * 107,94380231037699003210765,14665940327822338290565,
*,13,12,37 * 29 * 29 * 17 * 83 * 3 * 83 * 101 * 101 * 71 * 97 * 59 * 79,3579942195091242426741,2929622601988385939113973,
*,13,13,13 * 13 * 47 * 97 * 19 * 19 * 113 * 7 * 23 * 79 * 31 * 47 * 37,21550442168084224213,3164735146629734873899,
*,13,14,3 * 31 * 31 * 5 * 97 * 83 * 17 * 79 * 101 * 47 * 61 * 17 * 7,5370769502657469435,21139048182878970265388596755,
*,13,15,43 * 47 * 19 * 109 * 59 * 59 * 47 * 67 * 3 * 83 * 41 * 2 * 17,15925211806230327774,146845928236216422676,
*,13,16,89 * 101 * 59 * 61 * 29 * 31 * 61 * 7 * 109 * 59 * 47 * 11 * 7,289033303402040918567,3115326178304232142100,
*,13,17,53 * 113 * 83 * 11 * 107 * 43 * 127 * 5 * 13 * 127 * 113 * 17 * 79,4002695736240106946755,23129491492604797913901345,
*,13,18,37 * 97 * 37 * 73 * 97 * 43 * 17 * 31 * 5 * 11 * 11 * 47 * 41,24841964503513000855,5471460312127536505,
*,13,19,109 * 101 * 5 * 31 * 23 * 127 * 29 * 113 * 23 * 43 * 2 * 101 * 47,153367411328675564690,15786909597171695723030210210,
*,14,0,67 * 89 * 17 * 11 * 41 * 11 * 13 * 89 * 71 * 71 * 97 * 113 * 61 * 7,13728120004941076043309,2283776773885226700278199,
*,14,1,61 * 3 * 97 * 83 * 23 * 97 * 11 * 73 * 83 * 109 * 37 * 61 * 59 * 79,251206738095217504864011,253056209687910482686955834899807,
*,14,2,89 * 97 * 47 * 7 * 97 * 31 * 31 * 41 * 7 * 29 * 17 * 61 * 7 * 17,271930783005894840961,1382609011921473176803329,
*,14,3,13 * 53 * 79 * 79 * 89 * 19 * 71 * 71 * 67 * 37 * 13 * 11 * 3 * 41,1598274554194095037689,2175145988999792332298797,
*,14,4,103 * 103 * 17 * 43 * 79 * 43 * 29 * 17 * 107 * 2 * 97 * 71 * 103 * 73,143925661325390159074978,18588891225396359281710298,
*,14,5,3 * 67 * 101 * 47 * 43 * 23 * 83 * 59 * 97 * 127 * 3 * 71 * 2 * 61,1479301079222327913234,51548371892234319891818200,
*,14,6,101 * 29 * 59 * 37 * 127 * 89 * 19 * 2 * 127 * 47 * 79 * 61 * 31 * 101,247338660469873444632518,1934976549620610301563832681181982,
*,14,7,7 * 23 * 89 * 71 * 127 * 13 * 7 * 127 * 73 * 107 * 29 * 79 * 43 * 31,35619264052024802109233,3454368280103354480972591411789,
*,14,8,107 * 103 * 31 * 17 * 7 * 103 * 71 * 113 * 73 * 109 * 37 * 23 * 47 * 73,780554641791065429669437,465503012171056185251777487289828887,
*,14,9,83 * 79 * 3 * 59 * 67 * 71 * 97 * 59 * 31 * 31 * 127 * 79 * 2 * 53,32292034852098738924462,115820288532276261079538837476181439142,
*,14,10,71 * 5 * 101 * 2 * 103 * 101 * 3 * 61 * 79 * 113 * 41 * 113 * 83 * 61,28586775634259732198070,441399606397574958652190220,
*,14,11,2 * 107 * 61 * 89 * 5 * 97 * 37 * 17 * 37 * 97 * 83 * 71 * 61 * 29,13260616989926250243070,62515295423860594119810,
*,14,12,41 * 23 * 29 * 83 * 3 * 127 * 107 * 109 * 83 * 71 * 97 * 31 * 2 * 67,23949568982428486462902,16768409782641483360697402,
*,14,13,29 * 61 * 3 * 73 * 41 * 2 * 127 * 109 * 97 * 37 * 13 * 3 * 17 * 83,86852254870520415666,29062458339865942019826600,
*,14,14,61 * 113 * 29 * 73 * 127 * 7 * 103 * 43 * 47 * 67 * 2 * 37 * 73 * 113,110444034191391117182714,297831772950908108672399284114616,
*,14,15,53 * 109 * 73 * 73 * 43 * 43 * 73 * 2 * 2 * 43 * 5 * 37 * 17 * 83,186567094508577726820,1982528709630855630575920,
*,14,16,127 * 7 * 109 * 19 * 43 * 107 * 89 * 67 * 5 * 107 * 53 * 97 * 37 * 11,56545063691414613564865,36594394846931501331331953580,
*,14,17,19 * 61 * 43 * 127 * 59 * 43 * 3 * 5 * 41 * 17 * 17 * 113 * 17 * 59,323465833686038048895,113406343273222174325744215,
*,14,18,61 * 67 * 89 * 109 * 17 * 79 * 19 * 113 * 2 * 7 * 5 * 103 * 109 * 2,179688779040153268060,11941551474616878000,
*,14,19,61 * 109 * 97 * 71 * 127 * 79 * 13 * 97 * 59 * 41 * 3 * 79 * 73 * 83,2012414702719972377419463,471985717737943423616694302387,
*,15,0,127 * 107 * 97 * 79 * 127 * 127 * 89 * 11 * 89 * 23 * 13 * 23 * 79 * 13 * 89,91986890671432700492903783,1624093934450978403970621271729,
*,15,1,2 * 109 * 31 * 2 * 103 * 83 * 107 * 101 * 5 * 89 * 2 * 109 * 47 * 109 * 13,8067758032631866520120,21873860950253004395440420,
*,15,2,73 * 43 * 59 * 71 * 23 * 67 * 47 * 37 * 13 * 17 * 73 * 13 * 61 * 17 * 31,237576146143772943656227,106978819624708525874657117,
*,15,3,47 * 2 * 79 * 31 * 89 * 71 * 107 * 109 * 7 * 2 * 71 * 53 * 113 * 79 * 13,103725708697506979534724,1840628410130756157712821386,
*,15,4,73 * 97 * 59 * 71 * 79 * 113 * 61 * 2 * 5 * 47 * 19 * 47 * 47 * 47 * 79,1183075466646438098261630,32383412904110315572676638630972660,
*,15,5,13 * 23 * 73 * 67 * 67 * 23 * 67 * 53 * 29 * 127 * 7 * 29 * 71 * 103 * 83,3631563017336076952196249,9034854358501647911708772793211,
*,15,6,97 * 31 * 89 * 79 * 7 * 3 * 43 * 3 * 11 * 107 * 37 * 103 * 37 * 53 * 2,1007586945409324489902,18908386274359444000,
*,15,7,47 * 61 * 101 * 107 * 23 * 67 * 101 * 109 * 11 * 3 * 53 * 37 * 2 * 89 * 43,260353455581223908750022,153436565538671773744842178,
*,15,8,7 * 61 * 2 * 127 * 67 * 53 * 13 * 31 * 59 * 2 * 3 * 3 * 83 * 113 * 3,4637881173131653356,1921195671059469223917742824,
*,15,9,23 * 13 * 37 * 103 * 103 * 23 * 103 * 13 * 59 * 101 * 31 * 5 * 101 * 7 * 17,40126307189803546593245,1976735104241467852223476703025831835100,
*,15,10,59 * 19 * 103 * 37 * 101 * 19 * 97 * 67 * 67 * 17 * 61 * 23 * 109 * 73 * 11,7452285960912488095200449,435071374344237525026867497434989,
*,15,11,83 * 23 * 23 * 29 * 2 * 73 * 29 * 41 * 61 * 109 * 37 * 59 * 127 * 43 * 3,52561768924048365421302,118109294104271374470431606214622,
*,15,12,101 * 101 * 3 * 89 * 109 * 73 * 89 * 101 * 89 * 113 * 41 * 11 * 61 * 3 * 53,8570115969232937603213763,4363890671265101798278977861477799,
*,15,13,109 * 73 * 3 * 5 * 41 * 53 * 3 * 73 * 17 * 73 * 107 * 127 * 53 * 73 * 43,159356918702296006141455,1627455738212891118652735,
