Operator,Sequence Length,Repetition Number,Sequence,True Value,GPT-4 Value,Correct?,,Number Correct
+,2,56,1158359276 + 1158317807,2316677083,2316677083,TRUE,,
+,2,57,1158348941 + 1158378157,2316727098,2316727098,TRUE,,
+,2,58,1158306451 + 1158366531,2316672982,2316672982,TRUE,,
+,2,59,1158289841 + 1158347555,2316637396,2316637396,TRUE,,
+,2,60,1158310183 + 1158291303,2316601486,2316601486,TRUE,,
+,2,61,1158291449 + 1158324101,2316615550,2316615550,TRUE,,
+,2,62,1158322387 + 1158320251,2316642638,2316642638,TRUE,,
+,2,63,1158313169 + 1158314902,2316628071,2316628071,TRUE,,
+,2,64,1158291393 + 1158307076,2316598469,2316598469,TRUE,,
+,2,65,1158310559 + 1158304664,2316615223,2316615223,TRUE,,
+,2,66,1158360316 + 1158340614,2316700930,2316700930,TRUE,,
+,2,67,1158386305 + 1158310701,2316697006,2316697006,TRUE,,
+,2,68,1158381216 + 1158354313,2316735529,2316735529,TRUE,,
+,2,69,1158365060 + 1158340971,2316706031,2316706031,TRUE,,
+,2,70,1158291971 + 1158344981,2316636952,2316636952,TRUE,,
+,2,71,1158359025 + 1158308340,2316667365,2316667365,TRUE,,
+,2,72,1158314798 + 1158325478,2316640276,2316640276,TRUE,,
+,2,73,1158306845 + 1158357970,2316664815,2316664815,TRUE,,
+,2,74,1158292617 + 1158346706,2316639323,2316639323,TRUE,,
+,2,75,1158292999 + 1158355944,2316648943,2316648943,TRUE,,
+,2,76,1158350148 + 1158371359,2316721507,2316721507,TRUE,,
+,2,77,1158337306 + 1158383535,2316720841,2316720841,TRUE,,
+,2,78,1158379732 + 1158303153,2316682885,2316682885,TRUE,,
+,2,79,1158306092 + 1158374537,2316680629,2316680629,TRUE,,
+,2,80,1158387318 + 1158318272,2316705590,2316705590,TRUE,,
+,2,81,1158384412 + 1158334926,2316719338,2316719338,TRUE,,
+,2,82,1158322701 + 1158345809,2316668510,2316668510,TRUE,,
+,2,83,1158369914 + 1158321438,2316691352,2316691352,TRUE,,
+,2,84,1158340497 + 1158368429,2316708926,2316708926,TRUE,,
+,2,85,1158383500 + 1158347390,2316730890,2316730890,TRUE,,
+,2,86,1158377305 + 1158313341,2316690646,2316690646,TRUE,,
+,2,87,1158295312 + 1158345837,2316641149,2316641149,TRUE,,
+,2,88,1158353674 + 1158358391,2316712065,2316712065,TRUE,,
+,2,89,1158335664 + 1158292009,2316627673,2316627673,TRUE,,
+,2,90,1158349350 + 1158339887,2316689237,2316689237,TRUE,,
+,2,91,1158305828 + 1158383128,2316688956,2316688956,TRUE,,
+,2,92,1158376198 + 1158308807,2316685005,2316685005,TRUE,,
+,2,93,1158349979 + 1158364479,2316714458,2316714458,TRUE,,
+,2,94,1158372044 + 1158386168,2316758212,2316758212,TRUE,,
+,2,95,1158290732 + 1158373266,2316663998,2316663998,TRUE,,
+,2,96,1158376619 + 1158291135,2316667754,2316667754,TRUE,,
+,2,97,1158379758 + 1158358321,2316738079,2316738079,TRUE,,
+,2,98,1158370669 + 1158320689,2316691358,2316691358,TRUE,,
+,2,99,1158366026 + 1158320085,2316686111,2316686111,TRUE,,
+,2,100,1158336587 + 1158329742,2316666329,2316666329,TRUE,,
+,2,101,1158385690 + 1158325172,2316710862,2316710862,TRUE,,
+,2,102,1158295417 + 1158350017,2316645434,2316645434,TRUE,,
+,2,103,1158304172 + 1158291850,2316596022,2316596022,TRUE,,
+,2,104,1158293647 + 1158338140,2316631787,2316631787,TRUE,,
+,2,105,1158380872 + 1158356877,2316737749,2316737750,FALSE,,
+,2,106,1158305935 + 1158335460,2316641395,2316641395,TRUE,,
+,2,107,1158334106 + 1158375156,2316709262,2316709262,TRUE,,
+,2,108,1158382681 + 1158353551,2316736232,2316736232,TRUE,,
+,2,109,1158328505 + 1158301362,2316629867,2316629867,TRUE,,
+,2,110,1158367489 + 1158292302,2316659791,2316659791,TRUE,,
+,2,111,1158349781 + 1158386955,2316736736,2316736736,TRUE,,
+,2,112,1158374701 + 1158355123,2316729824,2316729824,TRUE,,
+,2,113,1158368249 + 1158319929,2316688178,2316688178,TRUE,,
+,2,114,1158364958 + 1158352998,2316717956,2316717956,TRUE,,
+,2,115,1158360949 + 1158379827,2316740776,2316740776,TRUE,,
+,2,116,1158347516 + 1158352939,2316700455,2316700455,TRUE,,
+,2,117,1158304207 + 1158382744,2316686951,2316686951,TRUE,,
+,2,118,1158290518 + 1158306150,2316596668,2316596668,TRUE,,
+,2,119,1158327258 + 1158344779,2316672037,2316672037,TRUE,,
+,2,120,1158311353 + 1158376342,2316687695,2316687695,TRUE,,
+,2,121,1158329911 + 1158309154,2316639065,2316639065,TRUE,,
+,2,122,1158310794 + 1158309991,2316620785,2316620785,TRUE,,
+,2,123,1158318479 + 1158386481,2316704960,2316704960,TRUE,,
+,2,124,1158369467 + 1158384255,2316753722,2316753722,TRUE,,
+,2,125,1158350758 + 1158327890,2316678648,2316678648,TRUE,,
+,2,126,1158342841 + 1158369611,2316712452,2316712452,TRUE,,
+,2,127,1158363952 + 1158356804,2316720756,2316720756,TRUE,,
+,2,128,1158337620 + 1158307323,2316644943,2316644943,TRUE,,
+,2,129,1158348791 + 1158353903,2316702694,2316702694,TRUE,,
+,2,130,1158371792 + 1158343123,2316714915,2316714915,TRUE,,
+,2,131,1158334983 + 1158299019,2316634002,2316634002,TRUE,,
+,2,132,1158371918 + 1158352776,2316724694,2316724694,TRUE,,
+,2,133,1158380986 + 1158333262,2316714248,2316714248,TRUE,,
+,2,134,1158321805 + 1158326405,2316648210,2316648210,TRUE,,
+,2,135,1158305366 + 1158362207,2316667573,2316667573,TRUE,,
+,2,136,1158344638 + 1158382749,2316727387,2316727387,TRUE,,
+,2,137,1158314791 + 1158377732,2316692523,2316692523,TRUE,,
+,2,138,1158332493 + 1158360695,2316693188,2316693188,TRUE,,
+,2,139,1158367362 + 1158376370,2316743732,2316743732,TRUE,,
+,2,140,1158364621 + 1158368588,2316733209,2316733209,TRUE,,
+,2,141,1158334915 + 1158302317,2316637232,2316637232,TRUE,,
+,2,142,1158329520 + 1158352665,2316682185,2316682185,TRUE,,
+,2,143,1158329056 + 1158329539,2316658595,2316658595,TRUE,,
+,2,144,1158302160 + 1158306848,2316609008,2316609008,TRUE,,
+,2,145,1158295042 + 1158298683,2316593725,2316593725,TRUE,,
+,2,146,1158379151 + 1158356233,2316735384,2316735384,TRUE,,
+,2,147,1158346121 + 1158288849,2316634970,2316634970,TRUE,,
+,2,148,1158290644 + 1158295640,2316586284,2316586284,TRUE,,
+,2,149,1158385085 + 1158323794,2316708879,2316708879,TRUE,,
+,2,150,1158298789 + 1158337194,2316635983,2316635983,TRUE,,
+,2,151,1158306167 + 1158374407,2316680574,2316680574,TRUE,,
+,2,152,1158309010 + 1158293307,2316602317,2316602317,TRUE,,
+,2,153,1158322099 + 1158369304,2316691403,2316691403,TRUE,,
+,2,154,1158383140 + 1158312514,2316695654,2316695654,TRUE,,
+,2,155,1158353534 + 1158382273,2316735807,2316735807,TRUE,,
+,2,156,1158335070 + 1158352005,2316687075,2316687075,TRUE,,
+,2,157,1158317462 + 1158349972,2316667434,2316667434,TRUE,,
+,2,158,1158363535 + 1158321629,2316685164,2316685164,TRUE,,
+,2,159,1158302806 + 1158357177,2316659983,2316659983,TRUE,,
+,2,160,1158348365 + 1158322004,2316670369,2316670370,FALSE,,
+,2,161,1158379138 + 1158378884,2316758022,2316758022,TRUE,,
+,2,162,1158373150 + 1158357502,2316730652,2316730652,TRUE,,
+,2,163,1158295943 + 1158336838,2316632781,2316632781,TRUE,,
+,2,164,1158344465 + 1158344943,2316689408,2316689408,TRUE,,
+,2,165,1158345805 + 1158330246,2316676051,2316676051,TRUE,,
+,2,166,1158320952 + 1158373047,2316693999,2316693999,TRUE,,
+,2,167,1158333401 + 1158301130,2316634531,2316634531,TRUE,,
+,2,168,1158357051 + 1158290649,2316647700,2316647700,TRUE,,
+,2,169,1158300659 + 1158330135,2316630794,2316630794,TRUE,,
+,2,170,1158308435 + 1158343586,2316652021,2316652021,TRUE,,
+,2,171,1158303780 + 1158352662,2316656442,2316656442,TRUE,,
+,2,172,1158356870 + 1158375957,2316732827,2316732827,TRUE,,
+,2,173,1158315247 + 1158339504,2316654751,2316653751,FALSE,,
+,2,174,1158374769 + 1158333230,2316707999,2316707999,TRUE,,
+,2,175,1158385360 + 1158294742,2316680102,2316680102,TRUE,,
+,2,176,1158324591 + 1158302918,2316627509,2316627509,TRUE,,
+,2,177,1158358501 + 1158312998,2316671499,2316671499,TRUE,,
+,2,178,1158300003 + 1158297649,2316597652,2316598652,FALSE,,
+,2,179,1158385536 + 1158361177,2316746713,2316746713,TRUE,,
+,2,180,1158361804 + 1158347371,2316709175,2316709175,TRUE,,
+,2,181,1158353357 + 1158366168,2316719525,2316719525,TRUE,,
+,2,182,1158307454 + 1158342381,2316649835,2316649835,TRUE,,
+,2,183,1158366416 + 1158288590,2316655006,2316655006,TRUE,,
+,2,184,1158296710 + 1158344981,2316641691,2316641691,TRUE,,
+,2,185,1158382809 + 1158375827,2316758636,2316758636,TRUE,,
+,2,186,1158319193 + 1158304557,2316623750,2316623750,TRUE,,
+,2,187,1158292078 + 1158315919,2316607997,2316607997,TRUE,,
+,2,188,1158359951 + 1158304262,2316664213,2316664213,TRUE,,
+,2,189,1158317794 + 1158356376,2316674170,2316674170,TRUE,,
+,2,190,1158329431 + 1158339425,2316668856,2316668856,TRUE,,
+,2,191,1158321847 + 1158316256,2316638103,2316638103,TRUE,,
+,2,192,1158297300 + 1158362366,2316659666,2316659666,TRUE,,
+,2,193,1158381537 + 1158374592,2316756129,2316756129,TRUE,,
+,2,194,1158358785 + 1158381553,2316740338,2316740338,TRUE,,
+,2,195,1158363669 + 1158381452,2316745121,2316745121,TRUE,,
+,2,196,1158377398 + 1158339965,2316717363,2316717363,TRUE,,
+,2,197,1158291573 + 1158368387,2316659960,2316659960,TRUE,,
+,2,198,1158335237 + 1158324532,2316659769,2316659769,TRUE,,
+,2,199,1158380902 + 1158371841,2316752743,2316752743,TRUE,,
+,2,200,1158377083 + 1158336373,2316713456,2316713456,TRUE,,
+,2,201,1158360846 + 1158313514,2316674360,2316674360,TRUE,,
+,2,202,1158318651 + 1158309977,2316628628,2316628628,TRUE,,
+,2,203,1158385524 + 1158348070,2316733594,2316733594,TRUE,,
+,2,204,1158353198 + 1158344456,2316697654,2316697654,TRUE,,
+,2,205,1158325296 + 1158307137,2316632433,2316632433,TRUE,,
+,2,206,1158346722 + 1158380391,2316727113,2316727113,TRUE,,
+,2,207,1158370003 + 1158327530,2316697533,2316697533,TRUE,,
+,2,208,1158333911 + 1158346691,2316680602,2316680602,TRUE,,
+,2,209,1158376040 + 1158304670,2316680710,2316680710,TRUE,,
+,2,210,1158325115 + 1158330577,2316655692,2316655692,TRUE,,
+,2,211,1158387328 + 1158309904,2316697232,2316697232,TRUE,,
+,2,212,1158291223 + 1158306318,2316597541,2316597541,TRUE,,
+,2,213,1158352793 + 1158376803,2316729596,2316729596,TRUE,,
+,2,214,1158353958 + 1158326684,2316680642,2316680642,TRUE,,
+,2,215,1158365484 + 1158303318,2316668802,2316668802,TRUE,,
+,2,216,1158304223 + 1158368276,2316672499,2316672499,TRUE,,
+,2,217,1158344148 + 1158309426,2316653574,2316653574,TRUE,,
+,2,218,1158341673 + 1158308761,2316650434,2316650434,TRUE,,
+,2,219,1158370407 + 1158378459,2316748866,2316748866,TRUE,,
+,2,220,1158295109 + 1158336086,2316631195,2316631195,TRUE,,
+,2,221,1158350707 + 1158374794,2316725501,2316725501,TRUE,,
+,2,222,1158386969 + 1158372389,2316759358,2316759358,TRUE,,
+,2,223,1158341300 + 1158298934,2316640234,2316639934,FALSE,,
+,2,224,1158321803 + 1158386670,2316708473,2316708473,TRUE,,
+,2,225,1158366855 + 1158327806,2316694661,2316694661,TRUE,,
+,2,226,1158341567 + 1158371469,2316713036,2316713036,TRUE,,
+,2,227,1158371428 + 1158358501,2316729929,2316729929,TRUE,,
+,2,228,1158333939 + 1158318974,2316652913,2316652913,TRUE,,
+,2,229,1158346519 + 1158310184,2316656703,2316656703,TRUE,,
+,2,230,1158315361 + 1158291163,2316606524,2316606524,TRUE,,
+,2,231,1158311209 + 1158338128,2316649337,2316649337,TRUE,,
+,2,232,1158290830 + 1158370984,2316661814,2316661814,TRUE,,
+,2,233,1158290325 + 1158288737,2316579062,2316579062,TRUE,,
+,2,234,1158336676 + 1158348088,2316684764,2316684764,TRUE,,
+,2,235,1158362309 + 1158363526,2316725835,2316725835,TRUE,,
+,2,236,1158369236 + 1158300998,2316670234,2316670234,TRUE,,
+,2,237,1158310072 + 1158315538,2316625610,2316625610,TRUE,,
+,2,238,1158368610 + 1158356874,2316725484,2316725484,TRUE,,
+,2,239,1158332528 + 1158352184,2316684712,2316684712,TRUE,,
+,2,240,1158376606 + 1158338849,2316715455,2316715455,TRUE,,
+,2,241,1158323355 + 1158288823,2316612178,2316612178,TRUE,,
+,2,242,1158338781 + 1158310648,2316649429,2316649429,TRUE,,
+,2,243,1158368128 + 1158366845,2316734973,2316734973,TRUE,,
+,2,244,1158325788 + 1158304923,2316630711,2316630711,TRUE,,
+,2,245,1158382007 + 1158364295,2316746302,2316746302,TRUE,,
+,2,246,1158311964 + 1158295517,2316607481,2316607481,TRUE,,
+,2,247,1158335978 + 1158356732,2316692710,23166927010,FALSE,,
+,2,248,1158337533 + 1158334660,2316672193,2316672193,TRUE,,
+,2,249,1158373695 + 1158321395,2316695090,2316695090,TRUE,,
+,2,250,1158338659 + 1158301237,2316639896,2316639896,TRUE,,
+,2,251,1158332836 + 1158345280,2316678116,2316678116,TRUE,,
+,2,252,1158377386 + 1158327318,2316704704,2316704704,TRUE,,
+,2,253,1158299961 + 1158315758,2316615719,2316615719,TRUE,,
+,2,254,1158360601 + 1158319249,2316679850,2316679850,TRUE,,
+,2,255,1158292208 + 1158342362,2316634570,2316634570,TRUE,,
+,2,256,1158379950 + 1158336159,2316716109,2316716109,TRUE,,
+,2,257,1158305983 + 1158348575,2316654558,2316654558,TRUE,,
+,2,258,1158290173 + 1158300229,2316590402,2316590402,TRUE,,
+,2,259,1158314868 + 1158335034,2316649902,2316649902,TRUE,,
+,2,260,1158332530 + 1158374223,2316706753,2316706753,TRUE,,
+,2,261,1158376787 + 1158301771,2316678558,2316678558,TRUE,,
+,2,262,1158339220 + 1158319011,2316658231,2316658231,TRUE,,
+,2,263,1158361577 + 1158383151,2316744728,2316744728,TRUE,,
+,2,264,1158365454 + 1158323616,2316689070,2316689070,TRUE,,
+,2,265,1158330229 + 1158351915,2316682144,2316682144,TRUE,,
+,2,266,1158289272 + 1158322865,2316612137,2316612137,TRUE,,
+,2,267,1158341657 + 1158330148,2316671805,2316671805,TRUE,,
+,2,268,1158351598 + 1158340645,2316692243,2316692243,TRUE,,
+,2,269,1158324041 + 1158387751,2316711792,2316711792,TRUE,,
+,2,270,1158335790 + 1158310685,2316646475,2316646475,TRUE,,
+,2,271,1158370917 + 1158377208,2316748125,2316748125,TRUE,,
+,2,272,1158344815 + 1158369378,2316714193,2316714193,TRUE,,
+,2,273,1158379217 + 1158340253,2316719470,2316719470,TRUE,,
+,2,274,1158321584 + 1158379573,2316701157,2316701157,TRUE,,
+,2,275,1158337885 + 1158325618,2316663503,2316663503,TRUE,,
+,2,276,1158367796 + 1158315051,2316682847,2316682847,TRUE,,
+,2,277,1158376293 + 1158324276,2316700569,2316700569,TRUE,,
+,2,278,1158383447 + 1158314878,2316698325,2316698325,TRUE,,
+,2,279,1158360737 + 1158344453,2316705190,2316705190,TRUE,,
+,2,280,1158297869 + 1158302237,2316600106,2316600106,TRUE,,
+,2,281,1158351139 + 1158321596,2316672735,2316672735,TRUE,,
+,2,282,1158335200 + 1158291934,2316627134,2316627134,TRUE,,
+,2,283,1158372227 + 1158296200,2316668427,2316668427,TRUE,,
+,2,284,1158311219 + 1158329098,2316640317,2316640317,TRUE,,
+,2,285,1158337165 + 1158369575,2316706740,2316706740,TRUE,,
+,2,286,1158331973 + 1158331244,2316663217,2316663217,TRUE,,
+,2,287,1158353362 + 1158321436,2316674798,2316674798,TRUE,,
+,2,288,1158295679 + 1158332079,2316627758,2316627758,TRUE,,
+,2,289,1158339950 + 1158371196,2316711146,2316711146,TRUE,,
+,2,290,1158358877 + 1158353345,2316712222,2316712222,TRUE,,
+,2,291,1158369102 + 1158352106,2316721208,2316721208,TRUE,,
+,2,292,1158383594 + 1158316266,2316699860,2316699860,TRUE,,
+,2,293,1158337792 + 1158311873,2316649665,2316649665,TRUE,,
+,2,294,1158374316 + 1158314519,2316688835,2316688835,TRUE,,
+,2,295,1158349332 + 1158367422,2316716754,2316716754,TRUE,,
+,2,296,1158375309 + 1158297399,2316672708,2316672708,TRUE,,
+,2,297,1158370862 + 1158352172,2316723034,2316723034,TRUE,,
+,2,298,1158361888 + 1158339488,2316701376,2316701376,TRUE,,
+,2,299,1158315293 + 1158365151,2316680444,2316680444,TRUE,,
+,2,300,1158367960 + 1158377685,2316745645,2316745645,TRUE,,
+,2,301,1158341600 + 1158311929,2316653529,2316653529,TRUE,,
+,2,302,1158297340 + 1158374386,2316671726,2316671726,TRUE,,
+,2,303,1158328449 + 1158345497,2316673946,2316673946,TRUE,,
+,2,304,1158346800 + 1158370023,2316716823,2316716823,TRUE,,
+,2,305,1158318662 + 1158367302,2316685964,2316685964,TRUE,,
+,2,306,1158366993 + 1158315293,2316682286,2316682286,TRUE,,
+,2,307,1158337167 + 1158384016,2316721183,2316721183,TRUE,,
+,2,308,1158333205 + 1158359446,2316692651,2316692651,TRUE,,
+,2,309,1158373123 + 1158370198,2316743321,2316743321,TRUE,,
+,2,310,1158382989 + 1158362741,2316745730,2316745730,TRUE,,
+,2,311,1158373514 + 1158356428,2316729942,2316729942,TRUE,,
+,2,312,1158319222 + 1158305785,2316625007,2316625007,TRUE,,
+,2,313,1158318411 + 1158316569,2316634980,2316634980,TRUE,,
+,2,314,1158347290 + 1158376500,2316723790,2316723790,TRUE,,
+,2,315,1158360174 + 1158309371,2316669545,2316669545,TRUE,,
+,2,316,1158335604 + 1158353959,2316689563,2316689563,TRUE,,
+,2,317,1158352615 + 1158289050,2316641665,2316641665,TRUE,,
+,2,318,1158288285 + 1158363873,2316652158,2316652158,TRUE,,
+,2,319,1158321504 + 1158350986,2316672490,2316672490,TRUE,,
+,2,320,1158366500 + 1158326852,2316693352,2316693352,TRUE,,
+,2,321,1158334539 + 1158363296,2316697835,2316697835,TRUE,,
+,2,322,1158350263 + 1158346649,2316696912,2316696912,TRUE,,
+,2,323,1158355395 + 1158320257,2316675652,2316675652,TRUE,,
+,2,324,1158359584 + 1158310073,2316669657,2316669657,TRUE,,
+,2,325,1158303251 + 1158305965,2316609216,2316609216,TRUE,,
+,2,326,1158309762 + 1158382613,2316692375,2316692375,TRUE,,
+,2,327,1158340468 + 1158308543,2316649011,2316649011,TRUE,,
+,2,328,1158308963 + 1158298641,2316607604,2316607604,TRUE,,
+,2,329,1158326748 + 1158294871,2316621619,2316621619,TRUE,,
+,2,330,1158330880 + 1158327616,2316658496,2316658496,TRUE,,
+,2,331,1158320607 + 1158331466,2316652073,2316652073,TRUE,,
+,2,332,1158357816 + 1158325856,2316683672,2316683672,TRUE,,
+,2,333,1158332245 + 1158325006,2316657251,2316657251,TRUE,,
+,2,334,1158344976 + 1158321039,2316666015,2316666015,TRUE,,
+,2,335,1158300384 + 1158296289,2316596673,2316596673,TRUE,,
+,2,336,1158315154 + 1158341446,2316656600,2316657600,FALSE,,
+,2,337,1158347821 + 1158333213,2316681034,2316681034,TRUE,,
+,2,338,1158319753 + 1158339067,2316658820,2316658820,TRUE,,
+,2,339,1158352105 + 1158383563,2316735668,2316735668,TRUE,,
+,2,340,1158291530 + 1158304852,2316596382,2316596382,TRUE,,
+,2,341,1158364589 + 1158316394,2316680983,2316680983,TRUE,,
+,2,342,1158358361 + 1158329056,2316687417,2316687417,TRUE,,
+,2,343,1158368437 + 1158309736,2316678173,2316678173,TRUE,,
+,2,344,1158298100 + 1158298808,2316596908,2316596908,TRUE,,
+,2,345,1158324714 + 1158302516,2316627230,2316627230,TRUE,,
+,2,346,1158307374 + 1158348247,2316655621,2316655621,TRUE,,
+,2,347,1158290516 + 1158295190,2316585706,2316585706,TRUE,,
+,2,348,1158332065 + 1158288653,2316620718,2316620718,TRUE,,
+,2,349,1158384877 + 1158362134,2316747011,2316747011,TRUE,,
+,2,350,1158349601 + 1158338107,2316687708,2316687708,TRUE,,
+,2,351,1158331974 + 1158375552,2316707526,2316707526,TRUE,,
+,2,352,1158318340 + 1158357787,2316676127,2316676127,TRUE,,
+,2,353,1158310823 + 1158388039,2316698862,2316698862,TRUE,,
+,2,354,1158367072 + 1158291273,2316658345,2316658345,TRUE,,
+,2,355,1158375079 + 1158387072,2316762151,2316762151,TRUE,,
+,2,356,1158355698 + 1158382280,2316737978,2316737978,TRUE,,
+,2,357,1158373201 + 1158329508,2316702709,2316702709,TRUE,,
+,2,358,1158328420 + 1158314312,2316642732,2316642732,TRUE,,
+,2,359,1158289468 + 1158378996,2316668464,2316668464,TRUE,,
+,2,360,1158366711 + 1158314367,2316681078,2316681078,TRUE,,
+,2,361,1158305785 + 1158364906,2316670691,2316670691,TRUE,,
+,2,362,1158364579 + 1158349515,2316714094,2316713084,FALSE,,
+,2,363,1158341846 + 1158309927,2316651773,2316651773,TRUE,,
+,2,364,1158343096 + 1158319360,2316662456,2316662456,TRUE,,
+,2,365,1158344829 + 1158334920,2316679749,2316679749,TRUE,,
+,2,366,1158333853 + 1158301931,2316635784,2316635784,TRUE,,
+,2,367,1158367463 + 1158308683,2316676146,2316676146,TRUE,,
+,2,368,1158375069 + 1158366459,2316741528,2316741528,TRUE,,
+,2,369,1158292503 + 1158343482,2316635985,2316635985,TRUE,,
+,2,370,1158336376 + 1158370787,2316707163,2316707163,TRUE,,
+,2,371,1158372519 + 1158324356,2316696875,2316696875,TRUE,,
+,2,372,1158293628 + 1158298166,2316591794,2316591794,TRUE,,
+,2,373,1158321405 + 1158319434,2316640839,2316640839,TRUE,,
+,2,374,1158385121 + 1158306684,2316691805,2316691805,TRUE,,
+,2,375,1158361147 + 1158376873,2316738020,2316738020,TRUE,,
+,2,376,1158298610 + 1158301233,2316599843,2316599843,TRUE,,
+,2,377,1158349879 + 1158340404,2316690283,2316690283,TRUE,,
+,2,378,1158288820 + 1158319581,2316608401,2316608401,TRUE,,
+,2,379,1158355704 + 1158297171,2316652875,2316652875,TRUE,,
+,2,380,1158313014 + 1158387200,2316700214,2316700214,TRUE,,
+,2,381,1158385302 + 1158378386,2316763688,2316763688,TRUE,,
+,2,382,1158345157 + 1158377816,2316722973,2316722973,TRUE,,
+,2,383,1158353435 + 1158354699,2316708134,2316708134,TRUE,,
+,2,384,1158319110 + 1158291958,2316611068,2316611068,TRUE,,
+,2,385,1158322353 + 1158343140,2316665493,2316665493,TRUE,,
+,2,386,1158348520 + 1158363226,2316711746,2316711746,TRUE,,
+,2,387,1158355106 + 1158309397,2316664503,2316664503,TRUE,,
+,2,388,1158341135 + 1158344880,2316686015,2316686015,TRUE,,
+,2,389,1158329084 + 1158339737,2316668821,2316668821,TRUE,,
+,2,390,1158345701 + 1158291538,2316637239,2316637239,TRUE,,
+,2,391,1158315276 + 1158312638,2316627914,2316627914,TRUE,,
+,2,392,1158294913 + 1158372245,2316667158,2316667158,TRUE,,
+,2,393,1158340095 + 1158332306,2316672401,2316672401,TRUE,,
+,2,394,1158327168 + 1158333164,2316660332,2316660332,TRUE,,
+,2,395,1158330021 + 1158365856,2316695877,2316695877,TRUE,,
