Operator,Sequence Length,Repetition Number,Sequence,True Value,GPT-4 Value,
+,8,3,71 + 19 + 47 + 53 + 97 + 101 + 23 + 3,414,414,
+,8,4,79 + 43 + 101 + 127 + 109 + 5 + 43 + 53,560,560,
+,8,5,5 + 19 + 101 + 11 + 107 + 109 + 61 + 61,474,574,
+,8,6,37 + 83 + 19 + 5 + 113 + 107 + 37 + 53,454,454,
+,8,7,23 + 43 + 61 + 127 + 101 + 19 + 97 + 59,530,530,
+,8,8,103 + 2 + 101 + 97 + 79 + 89 + 83 + 103,657,657,
+,8,9,73 + 37 + 89 + 2 + 53 + 71 + 53 + 41,419,419,
+,8,10,83 + 17 + 7 + 31 + 3 + 37 + 73 + 47,298,298,
+,8,11,107 + 23 + 23 + 79 + 29 + 19 + 127 + 61,468,468,
+,8,12,43 + 53 + 67 + 97 + 101 + 19 + 37 + 73,490,490,
+,8,13,53 + 59 + 37 + 7 + 59 + 53 + 19 + 31,318,318,
+,8,14,73 + 5 + 11 + 71 + 7 + 31 + 103 + 17,318,318,
+,8,15,2 + 59 + 2 + 19 + 37 + 127 + 29 + 89,364,364,
+,8,16,89 + 2 + 23 + 59 + 23 + 107 + 2 + 79,384,384,
+,8,17,31 + 127 + 103 + 79 + 103 + 73 + 53 + 73,642,642,
+,8,18,59 + 11 + 127 + 5 + 67 + 127 + 11 + 41,448,448,
+,8,19,101 + 29 + 29 + 113 + 43 + 13 + 79 + 89,496,496,
+,9,0,61 + 13 + 61 + 83 + 97 + 127 + 13 + 79 + 109,643,643,
+,9,1,97 + 31 + 29 + 23 + 19 + 29 + 2 + 67 + 103,400,400,
+,9,2,53 + 107 + 113 + 89 + 79 + 19 + 41 + 73 + 97,671,671,
+,9,3,3 + 17 + 47 + 41 + 89 + 19 + 13 + 23 + 5,257,257,
+,9,4,127 + 2 + 127 + 113 + 53 + 97 + 31 + 17 + 97,664,667,
+,9,5,41 + 53 + 11 + 19 + 29 + 2 + 3 + 71 + 59,288,288,
+,9,6,2 + 23 + 59 + 83 + 41 + 53 + 31 + 13 + 113,418,418,
+,9,7,71 + 13 + 29 + 127 + 103 + 71 + 3 + 5 + 67,489,489,
+,9,8,3 + 61 + 61 + 103 + 47 + 31 + 29 + 2 + 19,356,356,
+,9,9,47 + 109 + 11 + 7 + 113 + 17 + 113 + 79 + 5,501,501,
+,9,10,89 + 17 + 37 + 3 + 83 + 5 + 29 + 101 + 23,387,387,
+,9,11,109 + 13 + 101 + 17 + 109 + 59 + 101 + 127 + 61,697,687,
+,9,12,23 + 79 + 67 + 109 + 53 + 37 + 127 + 79 + 101,675,676,
+,9,13,101 + 31 + 11 + 97 + 2 + 97 + 47 + 59 + 67,512,512,
+,9,14,113 + 31 + 3 + 109 + 17 + 73 + 47 + 79 + 73,545,536,
+,9,15,79 + 97 + 41 + 13 + 13 + 19 + 113 + 5 + 97,477,481,
+,9,16,53 + 67 + 109 + 11 + 3 + 103 + 29 + 23 + 19,417,417,
+,9,17,31 + 17 + 83 + 53 + 79 + 67 + 109 + 103 + 13,555,552,
+,9,18,109 + 47 + 89 + 19 + 11 + 5 + 41 + 37 + 47,405,405,
+,9,19,73 + 17 + 61 + 37 + 41 + 3 + 59 + 101 + 53,445,445,
+,10,0,103 + 109 + 19 + 127 + 101 + 41 + 17 + 47 + 127 + 101,792,892,
+,10,1,41 + 11 + 113 + 53 + 59 + 41 + 53 + 19 + 67 + 23,480,530,
+,10,2,41 + 89 + 67 + 113 + 67 + 2 + 47 + 109 + 71 + 103,709,800,
+,10,3,127 + 71 + 41 + 89 + 71 + 43 + 83 + 3 + 109 + 59,696,696,
+,10,4,7 + 101 + 2 + 23 + 23 + 7 + 47 + 29 + 17 + 11,267,266,
+,10,5,11 + 23 + 73 + 43 + 41 + 61 + 103 + 113 + 71 + 127,666,761,
+,10,6,83 + 101 + 3 + 113 + 3 + 113 + 23 + 71 + 17 + 29,556,557,
+,10,7,73 + 13 + 43 + 71 + 61 + 113 + 73 + 3 + 37 + 53,540,544,
+,10,8,79 + 41 + 13 + 109 + 5 + 7 + 19 + 97 + 19 + 31,420,420,
+,10,9,67 + 127 + 5 + 109 + 83 + 59 + 107 + 113 + 103 + 41,814,904,
+,10,10,107 + 89 + 103 + 17 + 29 + 41 + 71 + 113 + 47 + 43,660,660,
+,10,11,29 + 127 + 97 + 7 + 59 + 53 + 19 + 3 + 73 + 71,538,538,
+,10,12,31 + 17 + 107 + 113 + 113 + 59 + 59 + 3 + 127 + 113,742,743,
+,10,13,83 + 47 + 89 + 19 + 83 + 67 + 31 + 31 + 83 + 5,538,538,
+,10,14,107 + 79 + 113 + 71 + 97 + 107 + 53 + 83 + 79 + 73,862,952,
+,10,15,11 + 11 + 67 + 61 + 13 + 43 + 71 + 73 + 67 + 43,460,500,
+,10,16,127 + 101 + 97 + 67 + 2 + 73 + 59 + 13 + 53 + 5,597,597,
+,10,17,103 + 109 + 61 + 107 + 89 + 127 + 107 + 89 + 103 + 107,1002,1002,
+,10,18,47 + 89 + 73 + 109 + 103 + 3 + 103 + 29 + 97 + 107,760,856,
+,10,19,19 + 127 + 19 + 7 + 2 + 59 + 5 + 53 + 23 + 23,337,337,
+,11,0,29 + 43 + 83 + 43 + 59 + 19 + 109 + 3 + 97 + 97 + 47,629,625,
+,11,1,17 + 89 + 13 + 67 + 61 + 31 + 67 + 23 + 113 + 109 + 97,687,697,
+,11,2,59 + 83 + 3 + 2 + 31 + 89 + 29 + 11 + 61 + 97 + 2,467,467,
+,11,3,79 + 2 + 43 + 71 + 79 + 103 + 103 + 19 + 113 + 43 + 103,758,858,
+,11,4,2 + 109 + 17 + 89 + 101 + 13 + 23 + 13 + 61 + 13 + 79,520,520,
+,11,5,2 + 89 + 79 + 53 + 37 + 23 + 89 + 37 + 59 + 17 + 83,568,568,
+,11,6,5 + 19 + 73 + 83 + 53 + 71 + 59 + 23 + 89 + 13 + 41,529,629,
+,11,7,97 + 107 + 7 + 101 + 79 + 79 + 61 + 7 + 43 + 13 + 31,625,575,
+,11,8,61 + 67 + 107 + 41 + 37 + 23 + 29 + 17 + 67 + 53 + 17,519,529,
+,11,9,53 + 59 + 67 + 11 + 23 + 13 + 47 + 3 + 43 + 31 + 37,387,387,
+,11,10,7 + 79 + 37 + 89 + 47 + 11 + 83 + 31 + 59 + 97 + 103,643,643,
+,11,11,43 + 43 + 109 + 83 + 31 + 127 + 79 + 83 + 53 + 2 + 23,676,676,
+,11,12,109 + 127 + 23 + 89 + 37 + 7 + 7 + 71 + 19 + 61 + 107,657,657,
+,11,13,127 + 67 + 59 + 61 + 2 + 13 + 103 + 19 + 11 + 17 + 61,540,540,
+,11,14,89 + 31 + 109 + 41 + 59 + 73 + 2 + 5 + 11 + 73 + 73,566,536,
+,11,15,109 + 127 + 7 + 13 + 59 + 67 + 7 + 3 + 113 + 89 + 47,641,640,
+,11,16,127 + 17 + 103 + 11 + 107 + 127 + 5 + 41 + 23 + 107 + 67,735,835,
+,11,17,29 + 79 + 73 + 47 + 109 + 31 + 103 + 53 + 2 + 107 + 73,706,807,
+,11,18,41 + 29 + 83 + 13 + 103 + 67 + 23 + 13 + 2 + 13 + 13,400,400,
+,11,19,71 + 71 + 19 + 31 + 29 + 3 + 19 + 13 + 5 + 37 + 89,387,397,
+,12,0,53 + 41 + 127 + 5 + 67 + 113 + 29 + 107 + 2 + 73 + 2 + 11,630,631,
+,12,1,83 + 61 + 41 + 61 + 79 + 47 + 17 + 71 + 53 + 79 + 2 + 2,596,596,
+,12,2,83 + 19 + 11 + 43 + 47 + 47 + 53 + 11 + 5 + 13 + 47 + 2,381,386,
+,12,3,23 + 109 + 13 + 37 + 53 + 79 + 11 + 67 + 7 + 127 + 37 + 107,670,675,
+,12,4,97 + 79 + 3 + 2 + 53 + 13 + 67 + 31 + 107 + 53 + 127 + 59,691,689,
+,12,5,47 + 101 + 3 + 83 + 53 + 7 + 59 + 41 + 101 + 109 + 7 + 13,624,624,
+,12,6,37 + 107 + 11 + 31 + 101 + 5 + 103 + 67 + 7 + 83 + 101 + 19,672,682,
+,12,7,71 + 103 + 109 + 83 + 89 + 41 + 127 + 47 + 61 + 71 + 2 + 13,817,828,
+,12,8,71 + 47 + 107 + 127 + 3 + 53 + 47 + 43 + 37 + 19 + 61 + 79,694,695,
+,12,9,79 + 53 + 79 + 61 + 43 + 109 + 37 + 101 + 17 + 23 + 19 + 2,623,623,
+,12,10,113 + 37 + 47 + 73 + 71 + 61 + 67 + 67 + 53 + 5 + 37 + 13,644,689,
+,12,11,17 + 71 + 37 + 83 + 19 + 17 + 17 + 5 + 17 + 3 + 5 + 43,334,337,
+,12,12,19 + 5 + 19 + 31 + 107 + 97 + 89 + 61 + 29 + 17 + 5 + 23,502,502,
+,12,13,127 + 29 + 5 + 5 + 107 + 97 + 37 + 41 + 13 + 83 + 71 + 43,658,658,
+,12,14,67 + 71 + 73 + 79 + 19 + 17 + 103 + 61 + 61 + 89 + 11 + 83,734,745,
+,12,15,2 + 67 + 47 + 73 + 73 + 17 + 2 + 97 + 53 + 61 + 5 + 43,540,490,
+,12,16,107 + 11 + 41 + 103 + 107 + 53 + 113 + 113 + 101 + 19 + 67 + 29,864,869,
+,12,17,7 + 7 + 43 + 127 + 41 + 7 + 73 + 73 + 29 + 19 + 7 + 113,546,558,
+,12,18,31 + 97 + 107 + 3 + 97 + 37 + 89 + 71 + 61 + 2 + 97 + 113,805,806,
+,12,19,53 + 73 + 43 + 11 + 103 + 17 + 53 + 103 + 97 + 67 + 43 + 97,760,859,
+,13,0,43 + 71 + 3 + 107 + 61 + 71 + 59 + 101 + 103 + 79 + 83 + 43 + 17,841,941,
+,13,1,109 + 101 + 17 + 11 + 79 + 107 + 107 + 19 + 23 + 43 + 2 + 11 + 109,738,737,
+,13,2,107 + 43 + 109 + 97 + 101 + 17 + 89 + 113 + 43 + 109 + 31 + 59 + 71,989,990,
+,13,3,7 + 17 + 107 + 71 + 127 + 7 + 23 + 13 + 17 + 53 + 13 + 29 + 61,545,645,
+,13,4,89 + 5 + 101 + 29 + 61 + 71 + 79 + 37 + 13 + 101 + 2 + 71 + 31,690,689,
+,13,5,11 + 17 + 5 + 11 + 83 + 29 + 59 + 19 + 3 + 113 + 2 + 89 + 113,554,545,
+,13,6,109 + 53 + 103 + 2 + 67 + 79 + 89 + 53 + 17 + 67 + 61 + 127 + 41,868,900,
+,13,7,23 + 97 + 61 + 61 + 107 + 29 + 67 + 97 + 103 + 3 + 127 + 73 + 83,931,1050,
+,13,8,17 + 109 + 29 + 107 + 59 + 103 + 11 + 5 + 53 + 59 + 73 + 13 + 103,741,733,
+,13,9,71 + 109 + 127 + 89 + 5 + 13 + 5 + 53 + 13 + 53 + 37 + 89 + 17,681,675,
+,13,10,73 + 101 + 53 + 101 + 7 + 37 + 67 + 37 + 43 + 89 + 13 + 11 + 61,693,733,
+,13,11,29 + 73 + 17 + 79 + 53 + 97 + 5 + 2 + 67 + 59 + 11 + 3 + 59,554,545,
+,13,12,23 + 97 + 37 + 37 + 127 + 3 + 37 + 17 + 83 + 113 + 79 + 13 + 5,671,664,
+,13,13,17 + 67 + 47 + 37 + 41 + 41 + 29 + 53 + 107 + 73 + 71 + 23 + 89,695,795,
+,13,14,73 + 79 + 59 + 7 + 89 + 5 + 7 + 5 + 89 + 107 + 11 + 61 + 61,653,733,
+,13,15,97 + 13 + 73 + 5 + 13 + 79 + 67 + 101 + 7 + 7 + 37 + 29 + 5,533,529,
+,13,16,59 + 29 + 73 + 89 + 43 + 43 + 2 + 53 + 113 + 71 + 13 + 2 + 109,699,700,
+,13,17,89 + 71 + 97 + 31 + 19 + 53 + 127 + 127 + 41 + 59 + 71 + 101 + 47,933,1014,
+,13,18,7 + 103 + 13 + 53 + 19 + 31 + 11 + 11 + 43 + 2 + 7 + 101 + 13,414,411,
+,13,19,53 + 89 + 11 + 37 + 71 + 109 + 103 + 13 + 107 + 71 + 5 + 29 + 29,727,727,
+,14,0,31 + 67 + 29 + 7 + 97 + 127 + 17 + 113 + 83 + 41 + 83 + 23 + 89 + 43,850,945,
+,14,1,5 + 89 + 3 + 61 + 3 + 13 + 7 + 101 + 31 + 61 + 5 + 2 + 23 + 109,513,513,
+,14,2,29 + 59 + 43 + 37 + 97 + 47 + 97 + 43 + 109 + 29 + 31 + 47 + 29 + 83,780,801,
+,14,3,71 + 23 + 83 + 19 + 59 + 101 + 127 + 89 + 97 + 17 + 79 + 3 + 5 + 37,810,815,
+,14,4,101 + 11 + 7 + 61 + 71 + 47 + 3 + 29 + 23 + 3 + 5 + 13 + 67 + 53,494,503,
+,14,5,61 + 83 + 107 + 113 + 29 + 83 + 61 + 67 + 79 + 29 + 83 + 59 + 17 + 23,894,904,
+,14,6,89 + 127 + 19 + 29 + 107 + 41 + 83 + 37 + 23 + 2 + 73 + 3 + 67 + 13,713,711,
+,14,7,17 + 31 + 97 + 53 + 53 + 13 + 97 + 2 + 47 + 103 + 43 + 2 + 79 + 127,764,860,
+,14,8,101 + 7 + 3 + 7 + 41 + 71 + 41 + 37 + 41 + 71 + 41 + 19 + 61 + 97,638,748,
+,14,9,17 + 101 + 31 + 17 + 37 + 47 + 61 + 71 + 101 + 11 + 73 + 41 + 107 + 37,752,867,
+,14,10,59 + 71 + 73 + 109 + 71 + 109 + 61 + 97 + 23 + 37 + 31 + 83 + 127 + 11,962,1023,
+,14,11,7 + 23 + 2 + 3 + 97 + 73 + 113 + 113 + 3 + 43 + 3 + 83 + 23 + 109,695,592,
+,14,12,31 + 5 + 2 + 11 + 61 + 19 + 67 + 11 + 71 + 23 + 2 + 29 + 127 + 53,512,550,
+,14,13,19 + 97 + 29 + 127 + 17 + 11 + 29 + 17 + 7 + 71 + 61 + 53 + 3 + 41,582,573,
+,14,14,17 + 13 + 53 + 37 + 97 + 47 + 13 + 19 + 37 + 3 + 67 + 127 + 13 + 79,622,602,
+,14,15,107 + 3 + 71 + 67 + 53 + 47 + 67 + 41 + 47 + 41 + 53 + 97 + 7 + 13,714,748,
+,14,16,107 + 2 + 59 + 7 + 2 + 79 + 113 + 19 + 53 + 37 + 5 + 73 + 79 + 41,676,766,
+,14,17,37 + 37 + 67 + 7 + 29 + 113 + 31 + 29 + 59 + 89 + 73 + 29 + 109 + 31,740,821,
+,14,18,53 + 31 + 31 + 5 + 41 + 59 + 17 + 5 + 2 + 113 + 23 + 79 + 79 + 11,549,639,
+,14,19,127 + 19 + 29 + 107 + 37 + 19 + 2 + 19 + 83 + 43 + 3 + 89 + 67 + 37,681,681,
+,15,0,101 + 107 + 47 + 11 + 41 + 53 + 13 + 37 + 41 + 3 + 67 + 103 + 109 + 107 + 73,913,1109,
+,15,1,3 + 29 + 127 + 67 + 103 + 97 + 31 + 11 + 53 + 43 + 73 + 59 + 89 + 11 + 53,849,950,
+,15,2,109 + 2 + 97 + 97 + 61 + 101 + 113 + 67 + 7 + 59 + 89 + 101 + 5 + 47 + 37,992,1053,
+,15,3,97 + 47 + 29 + 109 + 97 + 47 + 109 + 19 + 71 + 19 + 17 + 31 + 47 + 53 + 71,863,856,
+,15,4,31 + 17 + 2 + 73 + 73 + 23 + 83 + 67 + 43 + 109 + 11 + 53 + 61 + 43 + 103,792,887,
+,15,5,89 + 113 + 13 + 37 + 127 + 109 + 13 + 2 + 2 + 3 + 59 + 5 + 73 + 23 + 97,765,749,
+,15,6,13 + 103 + 113 + 3 + 73 + 107 + 13 + 17 + 37 + 41 + 59 + 31 + 107 + 23 + 61,801,909,
+,15,7,13 + 43 + 103 + 3 + 59 + 7 + 67 + 113 + 11 + 109 + 19 + 31 + 59 + 19 + 79,735,734,
+,15,8,127 + 79 + 127 + 31 + 101 + 109 + 79 + 11 + 11 + 31 + 79 + 107 + 43 + 17 + 103,1055,1053,
+,15,9,7 + 13 + 89 + 41 + 29 + 41 + 41 + 19 + 43 + 5 + 67 + 7 + 101 + 41 + 103,647,698,
+,15,10,3 + 59 + 79 + 61 + 37 + 97 + 17 + 79 + 41 + 41 + 59 + 73 + 61 + 7 + 61,775,926,
+,15,11,43 + 23 + 113 + 53 + 107 + 73 + 37 + 11 + 71 + 2 + 23 + 11 + 79 + 89 + 17,752,849,
+,15,12,53 + 53 + 17 + 89 + 127 + 2 + 59 + 17 + 7 + 107 + 23 + 7 + 53 + 97 + 7,718,726,
+,15,13,7 + 2 + 61 + 13 + 97 + 37 + 53 + 2 + 71 + 67 + 71 + 103 + 67 + 43 + 41,735,750,
+,15,14,89 + 67 + 97 + 73 + 29 + 113 + 107 + 19 + 2 + 59 + 113 + 97 + 43 + 89 + 67,1064,1195,
+,15,15,11 + 61 + 83 + 61 + 29 + 5 + 5 + 67 + 107 + 47 + 59 + 43 + 59 + 29 + 37,703,848,
+,15,16,67 + 53 + 67 + 59 + 5 + 127 + 107 + 13 + 2 + 101 + 47 + 23 + 97 + 23 + 101,892,997,
+,15,17,43 + 61 + 101 + 31 + 19 + 2 + 41 + 127 + 17 + 47 + 17 + 109 + 97 + 67 + 13,792,893,
+,15,18,53 + 71 + 61 + 89 + 113 + 67 + 19 + 41 + 11 + 2 + 107 + 59 + 2 + 73 + 109,877,1028,
+,15,19,67 + 79 + 13 + 61 + 31 + 47 + 71 + 59 + 61 + 79 + 37 + 97 + 61 + 97 + 47,907,1056,
+,16,0,73 + 11 + 43 + 103 + 61 + 73 + 67 + 97 + 83 + 23 + 107 + 73 + 127 + 113 + 5 + 43,1102,1175,
+,16,1,41 + 5 + 5 + 109 + 19 + 31 + 101 + 53 + 97 + 107 + 71 + 47 + 37 + 7 + 107 + 23,860,980,
+,16,2,11 + 101 + 31 + 23 + 89 + 29 + 23 + 61 + 37 + 59 + 5 + 67 + 19 + 11 + 97 + 37,700,805,
+,16,3,113 + 79 + 3 + 3 + 7 + 101 + 2 + 7 + 71 + 7 + 47 + 71 + 19 + 53 + 109 + 23,715,836,
+,16,4,71 + 17 + 83 + 11 + 127 + 41 + 47 + 29 + 17 + 71 + 97 + 23 + 83 + 17 + 103 + 83,920,1026,
+,16,5,3 + 37 + 47 + 79 + 53 + 89 + 59 + 83 + 73 + 79 + 13 + 3 + 89 + 101 + 61 + 11,880,920,
+,16,6,73 + 19 + 79 + 7 + 97 + 13 + 2 + 31 + 127 + 31 + 43 + 61 + 71 + 2 + 79 + 103,838,946,
+,16,7,31 + 2 + 101 + 2 + 59 + 113 + 37 + 83 + 83 + 19 + 37 + 47 + 71 + 19 + 2 + 113,819,929,
+,16,8,5 + 29 + 79 + 79 + 79 + 7 + 2 + 103 + 107 + 19 + 113 + 11 + 29 + 61 + 97 + 61,881,933,
+,16,9,11 + 109 + 41 + 17 + 107 + 7 + 79 + 5 + 79 + 2 + 11 + 31 + 83 + 11 + 41 + 43,677,737,
+,16,10,2 + 109 + 109 + 7 + 113 + 101 + 37 + 67 + 73 + 61 + 29 + 23 + 7 + 37 + 19 + 13,807,987,
+,16,11,23 + 71 + 23 + 29 + 101 + 71 + 107 + 79 + 127 + 19 + 109 + 103 + 23 + 37 + 29 + 2,953,1031,
+,16,12,67 + 41 + 11 + 37 + 19 + 71 + 73 + 31 + 101 + 2 + 83 + 47 + 53 + 67 + 79 + 71,853,1054,
+,16,13,31 + 59 + 101 + 79 + 3 + 127 + 109 + 3 + 79 + 3 + 13 + 13 + 61 + 47 + 47 + 89,864,907,
+,16,14,59 + 11 + 43 + 19 + 17 + 103 + 43 + 107 + 11 + 17 + 89 + 103 + 7 + 109 + 71 + 3,812,911,
+,16,15,23 + 2 + 71 + 2 + 7 + 17 + 37 + 127 + 71 + 2 + 5 + 2 + 17 + 17 + 89 + 89,578,709,
+,16,16,109 + 89 + 127 + 73 + 109 + 83 + 101 + 89 + 109 + 61 + 83 + 103 + 17 + 19 + 11 + 113,1296,1254,
+,16,17,103 + 59 + 47 + 41 + 17 + 73 + 13 + 89 + 19 + 17 + 89 + 101 + 109 + 17 + 23 + 7,824,915,
+,16,18,37 + 5 + 113 + 11 + 109 + 79 + 89 + 23 + 73 + 97 + 79 + 107 + 13 + 83 + 113 + 41,1072,1122,
+,16,19,67 + 47 + 113 + 107 + 103 + 19 + 73 + 29 + 43 + 43 + 127 + 101 + 11 + 59 + 59 + 83,1084,1256,
+,17,0,7 + 71 + 97 + 103 + 109 + 53 + 29 + 11 + 23 + 59 + 47 + 127 + 5 + 83 + 67 + 2 + 107,1000,1108,
+,17,1,19 + 53 + 127 + 127 + 19 + 83 + 41 + 41 + 67 + 19 + 7 + 43 + 5 + 127 + 37 + 73 + 127,1015,1005,
+,17,2,97 + 41 + 71 + 7 + 31 + 113 + 103 + 71 + 19 + 83 + 89 + 29 + 13 + 107 + 13 + 101 + 59,1047,1098,
+,17,3,127 + 101 + 7 + 103 + 83 + 101 + 67 + 19 + 41 + 13 + 97 + 97 + 113 + 7 + 83 + 79 + 11,1149,1196,
+,17,4,5 + 43 + 79 + 41 + 71 + 11 + 5 + 5 + 127 + 61 + 109 + 113 + 7 + 103 + 71 + 31 + 7,889,999,
